element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,1.644265e+03,0.000000e+00,2.343750e+02,1.644265e+03,-1.644265e+03,2.857579e+03,1.631669e+03
1,0.000000e+00,1.491697e+03,0.000000e+00,2.031250e+02,1.491697e+03,-1.491697e+03,2.591667e+03,1.452242e+03
2,0.000000e+00,1.339128e+03,0.000000e+00,1.718750e+02,1.339128e+03,-1.339128e+03,2.325797e+03,1.273576e+03
3,0.000000e+00,1.186559e+03,0.000000e+00,1.406250e+02,1.186559e+03,-1.186559e+03,2.059986e+03,1.096586e+03
4,0.000000e+00,1.033990e+03,0.000000e+00,1.093750e+02,1.033990e+03,-1.033990e+03,1.794261e+03,9.304596e+02
5,0.000000e+00,8.814217e+02,0.000000e+00,7.812500e+01,8.814217e+02,-8.814217e+02,1.528665e+03,8.726492e+02
6,0.000000e+00,7.288530e+02,0.000000e+00,4.687500e+01,7.288530e+02,-7.288530e+02,1.263280e+03,8.675158e+02
7,0.000000e+00,5.762843e+02,0.000000e+00,1.562500e+01,5.762843e+02,-5.762843e+02,9.982761e+02,8.661686e+02
8,0.000000e+00,5.560493e-10,0.000000e+00,9.373515e-11,5.560493e-10,-5.560493e-10,9.676564e-10,5.932810e-10
9,0.000000e+00,5.177011e-10,0.000000e+00,8.689039e-11,5.177011e-10,-5.177011e-10,9.008847e-10,5.631650e-10
10,0.000000e+00,4.985270e-10,0.000000e+00,8.137656e-11,4.985270e-10,-4.985270e-10,8.673002e-10,5.291002e-10
11,0.000000e+00,4.410047e-10,0.000000e+00,7.643313e-11,4.410047e-10,-4.410047e-10,7.676570e-10,4.859187e-10
12,0.000000e+00,4.026564e-10,0.000000e+00,7.206009e-11,4.026564e-10,-4.026564e-10,7.011343e-10,4.534422e-10
13,0.000000e+00,3.643082e-10,0.000000e+00,6.844758e-11,3.643082e-10,-3.643082e-10,6.347019e-10,4.155133e-10
14,0.000000e+00,3.643082e-10,0.000000e+00,6.540546e-11,3.643082e-10,-3.643082e-10,6.343810e-10,3.990415e-10
15,0.000000e+00,3.643082e-10,0.000000e+00,6.198308e-11,3.643082e-10,-3.643082e-10,6.340373e-10,3.946487e-10
16,0.000000e+00,3.067858e-10,0.000000e+00,5.818044e-11,3.067858e-10,-3.067858e-10,5.345443e-10,3.638057e-10
17,0.000000e+00,2.684376e-10,0.000000e+00,5.570872e-11,2.684376e-10,-2.684376e-10,4.682731e-10,3.307517e-10
18,0.000000e+00,2.684376e-10,0.000000e+00,5.247647e-11,2.684376e-10,-2.684376e-10,4.678996e-10,3.074476e-10
19,0.000000e+00,3.067858e-10,0.000000e+00,4.943436e-11,3.067858e-10,-3.067858e-10,5.336632e-10,3.174086e-10
20,0.000000e+00,2.300894e-10,0.000000e+00,4.620211e-11,2.300894e-10,-2.300894e-10,4.011957e-10,2.724698e-10
21,0.000000e+00,2.684376e-10,0.000000e+00,4.354026e-11,2.684376e-10,-2.684376e-10,4.669818e-10,2.818232e-10
22,0.000000e+00,2.300894e-10,0.000000e+00,4.011788e-11,2.300894e-10,-2.300894e-10,4.005407e-10,2.475233e-10
23,0.000000e+00,1.917412e-10,0.000000e+00,3.593498e-11,1.917412e-10,-1.917412e-10,3.340439e-10,2.346743e-10
24,0.000000e+00,1.917412e-10,0.000000e+00,3.099154e-11,1.917412e-10,-1.917412e-10,3.335483e-10,2.028343e-10
25,0.000000e+00,2.300894e-10,0.000000e+00,2.509744e-11,2.300894e-10,-2.300894e-10,3.993160e-10,2.084170e-10
26,0.000000e+00,1.533929e-10,0.000000e+00,1.920335e-11,1.533929e-10,-1.533929e-10,2.663774e-10,1.565806e-10
27,0.000000e+00,1.533929e-10,0.000000e+00,1.349938e-11,1.533929e-10,-1.533929e-10,2.660271e-10,1.597488e-10
28,0.000000e+00,1.150447e-10,0.000000e+00,7.985551e-12,1.150447e-10,-1.150447e-10,1.994232e-10,1.773095e-10
29,0.000000e+00,0.000000e+00,0.000000e+00,4.563172e-12,4.563172e-12,0.000000e+00,4.563172e-12,4.563172e-12
30,0.000000e+00,1.533929e-10,0.000000e+00,1.521057e-12,1.533929e-10,-1.533929e-10,2.656887e-10,1.771301e-10
31,0.000000e+00,7.669646e-11,0.000000e+00,1.901322e-13,7.669646e-11,-7.669646e-11,1.328423e-10,8.862491e-11
