Row (Condensed DOF),Column (Condensed DOF),K Value
0,0,1.100400000000e+09
0,6,-5.502000000000e+08
1,1,3.537000000000e+08
1,5,0.000000000000e+00
1,7,-1.768500000000e+08
1,11,4.421250000000e+07
2,2,3.537000000000e+08
2,4,0.000000000000e+00
2,8,-1.768500000000e+08
2,10,-4.421250000000e+07
3,3,8.445805200000e+03
3,9,-4.222902600000e+03
4,2,0.000000000000e+00
4,4,2.237790600000e+07
4,8,4.421250000000e+07
4,10,1.091729700000e+07
5,1,0.000000000000e+00
5,5,2.385990960000e+07
5,7,-4.421250000000e+07
5,11,1.017629520000e+07
6,0,-5.502000000000e+08
6,6,1.100400000000e+09
6,12,-5.502000000000e+08
7,1,-1.768500000000e+08
7,5,-4.421250000000e+07
7,7,3.537000000000e+08
7,11,0.000000000000e+00
7,13,-1.768500000000e+08
7,17,4.421250000000e+07
8,2,-1.768500000000e+08
8,4,4.421250000000e+07
8,8,3.537000000000e+08
8,10,0.000000000000e+00
8,14,-1.768500000000e+08
8,16,-4.421250000000e+07
9,3,-4.222902600000e+03
9,9,8.445805200000e+03
9,15,-4.222902600000e+03
10,2,-4.421250000000e+07
10,4,1.091729700000e+07
10,8,0.000000000000e+00
10,10,2.237790600000e+07
10,14,4.421250000000e+07
10,16,1.091729700000e+07
11,1,4.421250000000e+07
11,5,1.017629520000e+07
11,7,0.000000000000e+00
11,11,2.385990960000e+07
11,13,-4.421250000000e+07
11,17,1.017629520000e+07
12,6,-5.502000000000e+08
12,12,1.100400000000e+09
12,18,-5.502000000000e+08
13,7,-1.768500000000e+08
13,11,-4.421250000000e+07
13,13,3.537000000000e+08
13,17,0.000000000000e+00
13,19,-1.768500000000e+08
13,23,4.421250000000e+07
14,8,-1.768500000000e+08
14,10,4.421250000000e+07
14,14,3.537000000000e+08
14,16,0.000000000000e+00
14,20,-1.768500000000e+08
14,22,-4.421250000000e+07
15,9,-4.222902600000e+03
15,15,8.445805200000e+03
15,21,-4.222902600000e+03
16,8,-4.421250000000e+07
16,10,1.091729700000e+07
16,14,0.000000000000e+00
16,16,2.237790600000e+07
16,20,4.421250000000e+07
16,22,1.091729700000e+07
17,7,4.421250000000e+07
17,11,1.017629520000e+07
17,13,0.000000000000e+00
17,17,2.385990960000e+07
17,19,-4.421250000000e+07
17,23,1.017629520000e+07
18,12,-5.502000000000e+08
18,18,5.502000000000e+08
19,13,-1.768500000000e+08
19,17,-4.421250000000e+07
19,19,1.768500000000e+08
19,23,-4.421250000000e+07
20,14,-1.768500000000e+08
20,16,4.421250000000e+07
20,20,1.768500000000e+08
20,22,4.421250000000e+07
21,15,-4.222902600000e+03
21,21,4.222902600000e+03
22,14,-4.421250000000e+07
22,16,1.091729700000e+07
22,20,4.421250000000e+07
22,22,1.118895300000e+07
23,13,4.421250000000e+07
23,17,1.017629520000e+07
23,19,-4.421250000000e+07
23,23,1.192995480000e+07
