Global DOF,Value
0,0.000000000000e+00
1,-5.000000000006e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.500000000010e+02
6,0.000000000000e+00
7,0.000000000000e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.273736754432e-13
12,0.000000000000e+00
13,-4.547473508865e-13
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,0.000000000000e+00
18,0.000000000000e+00
19,3.637978807092e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-2.273736754432e-12
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-4.547473508865e-13
30,0.000000000000e+00
31,-2.273736754432e-12
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-2.273736754432e-13
36,0.000000000000e+00
37,-1.818989403546e-12
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-6.821210263297e-13
42,0.000000000000e+00
43,1.637090463191e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.136868377216e-12
48,0.000000000000e+00
49,-4.547473508865e-12
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.273736754432e-13
54,0.000000000000e+00
55,4.547473508865e-12
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-6.821210263297e-13
60,0.000000000000e+00
61,-1.455191522837e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-4.547473508865e-13
66,0.000000000000e+00
67,1.273292582482e-11
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.818989403546e-12
72,0.000000000000e+00
73,1.182343112305e-11
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,2.273736754432e-13
78,0.000000000000e+00
79,-4.547473508865e-12
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-2.273736754432e-13
84,0.000000000000e+00
85,-2.728484105319e-12
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-4.547473508865e-13
90,0.000000000000e+00
91,-4.365574568510e-11
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.364242052659e-12
96,0.000000000000e+00
97,5.911715561524e-11
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-4.547473508865e-13
102,0.000000000000e+00
103,4.274625098333e-11
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-2.273736754432e-13
108,0.000000000000e+00
109,-3.274180926383e-11
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.364242052659e-12
114,0.000000000000e+00
115,6.366462912410e-12
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-2.273736754432e-13
120,0.000000000000e+00
121,-1.273292582482e-11
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.136868377216e-12
126,0.000000000000e+00
127,2.273736754432e-11
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,0.000000000000e+00
132,0.000000000000e+00
133,-3.637978807092e-12
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,2.273736754432e-13
138,0.000000000000e+00
139,2.546585164964e-11
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,0.000000000000e+00
144,0.000000000000e+00
145,-1.246007741429e-10
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-4.547473508865e-13
150,0.000000000000e+00
151,3.819877747446e-11
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-2.273736754432e-13
156,0.000000000000e+00
157,5.093170329928e-11
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-2.273736754432e-13
162,0.000000000000e+00
163,-3.092281986028e-11
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,6.821210263297e-13
168,0.000000000000e+00
169,-6.093614501879e-11
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.818989403546e-12
174,0.000000000000e+00
175,1.364242052659e-11
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-4.547473508865e-13
180,0.000000000000e+00
181,1.909938873723e-11
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-9.094947017729e-13
186,0.000000000000e+00
187,1.291482476518e-10
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,1.364242052659e-12
192,0.000000000000e+00
193,-5.729816621169e-11
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,4.547473508865e-13
198,0.000000000000e+00
199,1.537046045996e-10
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,1.591615728103e-12
204,0.000000000000e+00
205,-1.000444171950e-10
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-9.094947017729e-13
210,0.000000000000e+00
211,-6.002665031701e-11
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-2.728484105319e-12
216,0.000000000000e+00
217,2.728484105319e-10
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-6.821210263297e-13
222,0.000000000000e+00
223,-8.276401786134e-11
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,9.094947017729e-13
228,0.000000000000e+00
229,9.276845958084e-11
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,2.273736754432e-13
234,0.000000000000e+00
235,-1.309672370553e-10
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,2.955857780762e-12
240,0.000000000000e+00
241,-1.155058271252e-10
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,2.273736754432e-13
246,0.000000000000e+00
247,2.455635694787e-11
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-2.728484105319e-12
252,0.000000000000e+00
253,-6.366462912410e-11
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-1.136868377216e-12
258,0.000000000000e+00
259,2.028173184954e-10
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,-9.094947017729e-13
264,0.000000000000e+00
265,-4.274625098333e-11
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,1.136868377216e-12
