# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.421875000010e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.265625000010e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.109375000010e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.953125000009e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.796875000009e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.640625000009e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.484375000009e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.328125000009e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.171875000008e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.015625000008e+02
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.593750000080e+01
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.031250000079e+01
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.468750000077e+01
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.906250000075e+01
0.000000000000e+00,-5.000000000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.343750000073e+01
0.000000000000e+00,-5.000000000007e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.812500000708e+00
0.000000000000e+00,-6.327458088734e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.882784004195e-10
0.000000000000e+00,-5.943975780326e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.688849206286e-10
0.000000000000e+00,-6.519199242938e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.502519694571e-10
0.000000000000e+00,-6.348762661423e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.312387539759e-10
0.000000000000e+00,-6.625722106385e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.126058028043e-10
0.000000000000e+00,-6.242239797977e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.932123230135e-10
0.000000000000e+00,-6.242239797977e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.734385789130e-10
0.000000000000e+00,-6.029194071083e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.540450991222e-10
0.000000000000e+00,-7.073118132861e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.342713550217e-10
0.000000000000e+00,-6.519199242938e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.133568179924e-10
0.000000000000e+00,-6.625722106385e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.935830738920e-10
0.000000000000e+00,-6.902681551346e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.726685368626e-10
0.000000000000e+00,-7.286163859754e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.521342641430e-10
0.000000000000e+00,-7.563123304716e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.300789341848e-10
0.000000000000e+00,-7.563123304716e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.080236042266e-10
0.000000000000e+00,-6.135716934530e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.859682742684e-10
0.000000000000e+00,-6.902681551346e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.654340015487e-10
0.000000000000e+00,-5.368752317714e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.441392002097e-10
0.000000000000e+00,-6.561808388317e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.258865133478e-10
0.000000000000e+00,-6.561808388317e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.080140907954e-10
0.000000000000e+00,-4.260914537868e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.905219325527e-10
0.000000000000e+00,-4.814833427791e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.749310958582e-10
0.000000000000e+00,-3.621777357188e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.589599948540e-10
0.000000000000e+00,-5.709625480743e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.429888938497e-10
0.000000000000e+00,-6.135716934530e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.266375285359e-10
0.000000000000e+00,-5.368752317714e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.106664275317e-10
0.000000000000e+00,-6.476590097559e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.935545335986e-10
0.000000000000e+00,-4.388741974004e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.768229039752e-10
0.000000000000e+00,-4.601787700897e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.623728602095e-10
0.000000000000e+00,-3.621777357188e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.505846666111e-10
0.000000000000e+00,-3.408731630294e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.387964730128e-10
0.000000000000e+00,-4.175696247111e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.266280151048e-10
0.000000000000e+00,-5.155706590820e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.136990285776e-10
0.000000000000e+00,-3.834823084081e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.003897777407e-10
0.000000000000e+00,-3.834823084081e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.670026259427e-11
