Condensed DOF,Value
0,0.000000000000e+00
1,-1.477853581414e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.069192675705e-04
6,0.000000000000e+00
7,-4.737694955670e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.425590234273e-04
12,0.000000000000e+00
13,-8.301670541353e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.425590234273e-04
18,0.000000000000e+00
19,-1.186564612704e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.425590234273e-04
24,0.000000000000e+00
25,-1.542962171272e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.425590234273e-04
30,0.000000000000e+00
31,-1.899359729840e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.425590234273e-04
36,-0.000000000000e+00
37,-2.255757288409e-04
38,-0.000000000000e+00
39,-0.000000000000e+00
40,-0.000000000000e+00
41,-1.425590234273e-04
42,0.000000000000e+00
43,-2.612154846977e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.425590234273e-04
