Row (Local DOF),Column (Local DOF),K_e Value
0,0,1.760640000000e+10
0,6,-1.760640000000e+10
1,1,5.659200000000e+09
1,5,4.421250000000e+07
1,7,-5.659200000000e+09
1,11,4.421250000000e+07
2,2,5.659200000000e+09
2,4,-4.421250000000e+07
2,8,-5.659200000000e+09
2,10,-4.421250000000e+07
3,3,1.351328832000e+05
3,9,-1.351328832000e+05
4,2,-4.421250000000e+07
4,4,4.691906156250e+06
4,8,4.421250000000e+07
4,10,-4.001085843750e+06
5,1,4.421250000000e+07
5,5,2.840396375625e+07
5,7,-4.421250000000e+07
5,11,-2.771314344375e+07
6,0,-1.760640000000e+10
6,6,1.760640000000e+10
7,1,-5.659200000000e+09
7,5,-4.421250000000e+07
7,7,5.659200000000e+09
7,11,-4.421250000000e+07
8,2,-5.659200000000e+09
8,4,4.421250000000e+07
8,8,5.659200000000e+09
8,10,4.421250000000e+07
9,3,-1.351328832000e+05
9,9,1.351328832000e+05
10,2,-4.421250000000e+07
10,4,-4.001085843750e+06
10,8,4.421250000000e+07
10,10,4.691906156250e+06
11,1,4.421250000000e+07
11,5,-2.771314344375e+07
11,7,-4.421250000000e+07
11,11,2.840396375625e+07
