Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-4.522819849898e-07
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-3.536240790376e-05
12,0.000000000000e+00
13,-1.451404530584e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-7.017229517838e-05
18,0.000000000000e+00
19,-2.988768490673e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.044340123800e-04
24,0.000000000000e+00
25,-5.055842696586e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.381519100648e-04
30,0.000000000000e+00
31,-7.644163957090e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.713303387888e-04
36,0.000000000000e+00
37,-1.074533705840e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-2.039736491082e-04
42,0.000000000000e+00
43,-1.435103476415e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-2.360861915792e-04
48,0.000000000000e+00
49,-1.845299781544e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.676723167579e-04
54,0.000000000000e+00
55,-2.304303493079e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-2.987363752003e-04
60,0.000000000000e+00
61,-2.811302280618e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.292827174628e-04
66,0.000000000000e+00
67,-3.365490611500e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-3.593156941012e-04
72,0.000000000000e+00
73,-3.966069750811e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-3.888396556719e-04
78,0.000000000000e+00
79,-4.612247761378e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-4.178589527310e-04
84,0.000000000000e+00
85,-5.303239503775e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-4.463779358345e-04
90,0.000000000000e+00
91,-6.038266636317e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-4.744009555387e-04
96,0.000000000000e+00
97,-6.816557615066e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-5.019323623996e-04
102,0.000000000000e+00
103,-7.637347693826e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-5.289765069734e-04
108,0.000000000000e+00
109,-8.499878924144e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-5.555377398163e-04
114,0.000000000000e+00
115,-9.403400155315e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-5.816204114842e-04
120,0.000000000000e+00
121,-1.034716703437e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-6.072288725335e-04
126,0.000000000000e+00
127,-1.133044200610e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-6.323674735202e-04
132,0.000000000000e+00
133,-1.235249431302e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-6.570405650005e-04
138,0.000000000000e+00
139,-1.341259999539e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-6.812524975305e-04
144,0.000000000000e+00
145,-1.451004189125e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-7.050076216663e-04
150,0.000000000000e+00
151,-1.564410963633e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-7.283102879641e-04
156,0.000000000000e+00
157,-1.681409966413e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-7.511648469800e-04
162,0.000000000000e+00
163,-1.801931520591e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-7.735756492701e-04
168,0.000000000000e+00
169,-1.925906629066e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-7.955470453906e-04
174,0.000000000000e+00
175,-2.053266974509e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-8.170833858976e-04
180,0.000000000000e+00
181,-2.183944919369e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-8.381890213472e-04
186,0.000000000000e+00
187,-2.317873505868e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-8.588683022956e-04
192,0.000000000000e+00
193,-2.454986456003e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-8.791255792990e-04
198,0.000000000000e+00
199,-2.595218171543e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-8.989652029133e-04
204,0.000000000000e+00
205,-2.738503734034e-04
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-9.183915236949e-04
210,0.000000000000e+00
211,-2.884778904797e-04
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-9.374088921998e-04
216,0.000000000000e+00
217,-3.033980124924e-04
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-9.560216589841e-04
222,0.000000000000e+00
223,-3.186044515284e-04
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-9.742341746040e-04
228,0.000000000000e+00
229,-3.340909876519e-04
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-9.920507896157e-04
234,0.000000000000e+00
235,-3.498514689048e-04
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-1.009475854575e-03
240,0.000000000000e+00
241,-3.658798113062e-04
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-1.026513720039e-03
246,0.000000000000e+00
