N,Vy,Vz,T,My,Mz
0.000000000000e+00,-2.559554209455e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.922180175927e+02
0.000000000000e+00,-9.799733408519e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.844665527488e+02
0.000000000000e+00,-9.722570153334e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.690246582174e+02
0.000000000000e+00,-9.645406898150e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.537048339985e+02
0.000000000000e+00,-9.568243642966e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.385070800921e+02
0.000000000000e+00,-9.491080387781e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.234313964982e+02
0.000000000000e+00,-9.413917132597e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.084777832168e+02
0.000000000000e+00,-9.336753877412e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.936462402479e+02
0.000000000000e+00,-9.259590622228e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.789367675915e+02
0.000000000000e+00,-9.182427367043e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.643493652476e+02
0.000000000000e+00,-9.105264111859e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.498840332162e+02
0.000000000000e+00,-9.028100856674e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.355407714973e+02
0.000000000000e+00,-8.950937601489e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.213195800909e+02
0.000000000000e+00,-8.873774346304e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.072204589970e+02
0.000000000000e+00,-8.796611091120e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.932434082156e+02
0.000000000000e+00,-8.719447835936e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.793884277467e+02
0.000000000000e+00,-8.642284580751e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.656555175903e+02
0.000000000000e+00,-8.565121325568e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.520446777464e+02
0.000000000000e+00,-8.487958070383e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.385559082150e+02
0.000000000000e+00,-8.410794815198e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.251892089961e+02
