element_id,total_strain_energy
0,1.770326117190e-02
1,1.715572136272e-02
2,1.662099240984e-02
3,1.609887274364e-02
4,1.558916239425e-02
5,1.509166299157e-02
6,1.460617776525e-02
7,1.413251154469e-02
8,1.367047075907e-02
9,1.321986343731e-02
10,1.278049920810e-02
11,1.235218929988e-02
12,1.193474654086e-02
13,1.152798535901e-02
14,1.113172178204e-02
15,1.074577343744e-02
16,1.036995955244e-02
17,1.000410095405e-02
18,9.648020069022e-03
19,9.301540923876e-03
20,8.964489144887e-03
21,8.636691958090e-03
22,8.317978189280e-03
23,8.008178264007e-03
24,7.707124207585e-03
25,7.414649645084e-03
26,7.130589801334e-03
27,6.854781500923e-03
28,6.587063168198e-03
29,6.327274827267e-03
30,6.075258101994e-03
31,5.830856216004e-03
32,5.593913992679e-03
33,5.364277855163e-03
34,5.141795826356e-03
35,4.926317528917e-03
36,4.717694185268e-03
37,4.515778617584e-03
38,4.320425247803e-03
39,4.131490097621e-03
40,3.948830788493e-03
41,3.772306541631e-03
42,3.601778178009e-03
43,3.437108118358e-03
44,3.278160383169e-03
45,3.124800592691e-03
46,2.976895966933e-03
47,2.834315325661e-03
48,2.696929088401e-03
49,2.564609274440e-03
50,2.437229502821e-03
51,2.314664992347e-03
52,2.196792561579e-03
53,2.083490628840e-03
54,1.974639212208e-03
55,1.870119929522e-03
56,1.769815998381e-03
57,1.673612236140e-03
58,1.581395059915e-03
59,1.493052486582e-03
60,1.408474132772e-03
61,1.327551214879e-03
62,1.250176549054e-03
63,1.176244551206e-03
64,1.105651237006e-03
65,1.038294221882e-03
66,9.740727210193e-04
67,9.128875493652e-04
68,8.546411216245e-04
69,7.992374522610e-04
70,7.465821554974e-04
71,6.965824453153e-04
72,6.491471354556e-04
73,6.041866394178e-04
74,5.616129704602e-04
75,5.213397416007e-04
76,4.832821656154e-04
77,4.473570550395e-04
78,4.134828221676e-04
79,3.815794790527e-04
80,3.515686375071e-04
81,3.233735091020e-04
82,2.969189051670e-04
83,2.721312367916e-04
84,2.489385148232e-04
85,2.272703498688e-04
86,2.070579522943e-04
87,1.882341322240e-04
88,1.707332995419e-04
89,1.544914638903e-04
90,1.394462346709e-04
91,1.255368210441e-04
92,1.127040319291e-04
93,1.008902760045e-04
94,9.003956170725e-05
95,8.009749723375e-05
96,7.101129053909e-05
97,6.272974933731e-05
98,5.520328110119e-05
99,4.838389306292e-05
100,4.222519221319e-05
101,3.668238530191e-05
102,3.171227883763e-05
103,2.727327908830e-05
104,2.332539208047e-05
105,1.983022359957e-05
106,1.675097918994e-05
107,1.405246415509e-05
108,1.170108355751e-05
109,9.664842218518e-06
110,7.913344718087e-06
111,6.417795395440e-06
112,5.150998348758e-06
113,4.087357434988e-06
114,3.202876270175e-06
115,2.475158229168e-06
116,1.883406445837e-06
117,1.408423812858e-06
118,1.032612981982e-06
119,7.399763639805e-07
120,5.161161282084e-07
121,3.482342032838e-07
122,2.251322766837e-07
123,1.372117947617e-07
124,7.647396282687e-08
125,3.651974514565e-08
126,1.254986490622e-08
127,1.364804269687e-09
