Condensed DOF,Value
0,0.000000000000e+00
1,-1.811039151957e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.678550401117e-04
6,0.000000000000e+00
7,-6.752604439787e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-5.022978091077e-04
12,0.000000000000e+00
13,-1.442096425418e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-7.055557917288e-04
18,0.000000000000e+00
19,-2.444023054507e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-8.798564727163e-04
24,0.000000000000e+00
25,-3.646235882168e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.027427336811e-03
30,0.000000000000e+00
31,-5.016714815248e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.150495868754e-03
36,0.000000000000e+00
37,-6.526224116520e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.251289553287e-03
42,0.000000000000e+00
43,-8.148312404685e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.332035875150e-03
48,0.000000000000e+00
49,-9.859312654369e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.394962319085e-03
54,0.000000000000e+00
55,-1.163834219612e-03
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.442296369832e-03
60,0.000000000000e+00
61,-1.346730271643e-03
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.476265512134e-03
66,0.000000000000e+00
67,-1.533088025769e-03
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.499097230729e-03
72,0.000000000000e+00
73,-1.721654521824e-03
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.513019010361e-03
78,0.000000000000e+00
79,-1.911455235233e-03
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.520258335769e-03
84,-0.000000000000e+00
85,-2.101794077016e-03
86,-0.000000000000e+00
87,-0.000000000000e+00
88,-0.000000000000e+00
89,-1.523042691696e-03
90,0.000000000000e+00
91,-2.292253393782e-03
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.523599562881e-03
