# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-9.687500000006e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.394531250007e+02
0.000000000000e+00,-1.988799816468e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.808593750006e+02
0.000000000000e+00,-1.856213162037e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.675781250006e+02
0.000000000000e+00,-1.723626507605e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.621093750005e+02
0.000000000000e+00,-1.591039853175e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.644531250004e+02
0.000000000000e+00,-1.458453198743e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.746093750004e+02
0.000000000000e+00,-1.325866544312e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.925781250003e+02
0.000000000000e+00,-1.193279889881e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.183593750002e+02
0.000000000000e+00,-1.060693235450e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.519531250002e+02
0.000000000000e+00,-9.281065810191e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.933593750001e+02
0.000000000000e+00,-7.955199265899e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.425781250001e+02
0.000000000000e+00,-6.629332721574e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.960937500006e+01
0.000000000000e+00,-5.303466177229e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.445312500003e+01
0.000000000000e+00,-3.977599632933e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.710937500002e+01
0.000000000000e+00,-2.651733088641e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.757812500001e+01
0.000000000000e+00,-1.325866544284e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.859375000012e+00
0.000000000000e+00,-3.124999999968e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.953125000018e+00
