Global DOF,Value
0,0.000000000000e+00
1,-9.999999999993e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-9.999999999989e+02
6,0.000000000000e+00
7,-7.105427357601e-15
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-3.552713678801e-15
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,4.547473508865e-13
18,0.000000000000e+00
19,-7.279510327862e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.364242052659e-12
24,0.000000000000e+00
25,-2.182787284255e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,1.364242052659e-12
30,0.000000000000e+00
31,6.548361852765e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,1.818989403546e-12
36,0.000000000000e+00
37,-7.275957614183e-12
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,9.094947017729e-13
42,0.000000000000e+00
43,8.731149137020e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,3.637978807092e-12
48,0.000000000000e+00
49,-1.091464696401e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-9.094947017729e-13
54,0.000000000000e+00
55,7.275602342816e-11
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-3.637978807092e-12
60,0.000000000000e+00
61,-2.911093588409e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,4.547473508865e-12
66,0.000000000000e+00
67,-1.091464696401e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,0.000000000000e+00
72,0.000000000000e+00
73,-7.275957614183e-12
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,3.637978807092e-12
78,0.000000000000e+00
79,-2.546620692101e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,4.547473508865e-12
84,0.000000000000e+00
85,-1.455191522837e-11
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-3.637978807092e-12
90,0.000000000000e+00
91,1.164082163996e-10
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,3.637978807092e-12
96,0.000000000000e+00
97,-3.419771132940e-10
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.091393642128e-11
102,0.000000000000e+00
103,-1.018705120259e-10
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.273292582482e-11
108,0.000000000000e+00
109,4.729301394946e-10
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-9.094947017729e-12
114,0.000000000000e+00
115,-6.402913754755e-10
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-7.275957614183e-12
120,0.000000000000e+00
121,3.565148176676e-10
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.091393642128e-11
126,0.000000000000e+00
127,2.182076741519e-11
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,7.275957614183e-12
132,0.000000000000e+00
133,-1.455262577110e-10
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.455191522837e-11
138,0.000000000000e+00
139,4.219984361953e-10
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,3.637978807092e-12
144,0.000000000000e+00
145,-2.182858338529e-10
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,1.818989403546e-12
150,0.000000000000e+00
151,-3.492530709082e-10
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.637090463191e-11
156,0.000000000000e+00
157,3.346869448251e-10
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-3.637978807092e-12
162,0.000000000000e+00
163,-1.891820033961e-10
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-5.456968210638e-12
168,0.000000000000e+00
169,-2.328377490812e-10
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.091393642128e-11
174,0.000000000000e+00
175,-7.275957614183e-11
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,1.818989403546e-11
180,0.000000000000e+00
181,1.164188745406e-10
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,2.182787284255e-11
186,0.000000000000e+00
187,-1.338776201010e-09
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,9.094947017729e-12
192,0.000000000000e+00
193,4.074518500374e-10
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.818989403546e-11
