Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-5.013696683953e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.381736628432e-04
12,0.000000000000e+00
13,-1.837142488762e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.677158223149e-04
18,0.000000000000e+00
19,-3.954241676256e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-3.889049140076e-04
24,0.000000000000e+00
25,-6.801330668485e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-5.020193735141e-04
30,0.000000000000e+00
31,-1.032881312551e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-6.073376364268e-04
36,0.000000000000e+00
37,-1.448883292985e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-7.051381383385e-04
42,0.000000000000e+00
43,-1.923527418648e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-7.956993148418e-04
48,0.000000000000e+00
49,-2.452376122281e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-8.792996015293e-04
54,0.000000000000e+00
55,-3.031165858873e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-9.562174339937e-04
60,0.000000000000e+00
61,-3.655807105657e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.026731247827e-03
66,0.000000000000e+00
67,-4.322384362112e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.091119478623e-03
72,0.000000000000e+00
73,-5.027156149961e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.149660561974e-03
78,0.000000000000e+00
79,-5.766555013175e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.202632933472e-03
84,0.000000000000e+00
85,-6.537187517967e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.250315028710e-03
90,0.000000000000e+00
91,-7.335834252798e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.292985283281e-03
96,0.000000000000e+00
97,-8.159449828374e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.330922132777e-03
102,0.000000000000e+00
103,-9.005162877645e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.364404012791e-03
108,0.000000000000e+00
109,-9.870276055809e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.393709358915e-03
114,0.000000000000e+00
115,-1.075226604031e-03
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.419116606743e-03
120,0.000000000000e+00
121,-1.164878353082e-03
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.440904191866e-03
126,0.000000000000e+00
127,-1.255765324930e-03
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.459350549878e-03
132,0.000000000000e+00
133,-1.347687393990e-03
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.474734116371e-03
138,0.000000000000e+00
139,-1.440461836906e-03
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-1.487333326937e-03
144,0.000000000000e+00
145,-1.533923332544e-03
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.497426617170e-03
150,0.000000000000e+00
151,-1.627923961996e-03
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.505292422662e-03
156,0.000000000000e+00
157,-1.722333208577e-03
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.511209179005e-03
162,0.000000000000e+00
163,-1.817037957829e-03
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.515455321793e-03
168,0.000000000000e+00
169,-1.911942497516e-03
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.518309286617e-03
174,0.000000000000e+00
175,-2.006968517628e-03
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.520049509071e-03
180,0.000000000000e+00
181,-2.102055110379e-03
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.520954424747e-03
186,-0.000000000000e+00
187,-2.197158770208e-03
188,-0.000000000000e+00
189,-0.000000000000e+00
190,-0.000000000000e+00
191,-1.521302469238e-03
192,0.000000000000e+00
193,-2.292253393777e-03
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.521372078136e-03
