element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,5.716388e+03,0.000000e+00,9.692383e+02,5.716388e+03,-5.716388e+03,9.948403e+03,6.157564e+03
1,0.000000e+00,5.389537e+03,0.000000e+00,9.086914e+02,5.389537e+03,-5.389537e+03,9.379074e+03,5.788259e+03
2,0.000000e+00,5.072220e+03,0.000000e+00,8.500977e+02,5.072220e+03,-5.072220e+03,8.826376e+03,5.430476e+03
3,0.000000e+00,4.764440e+03,0.000000e+00,7.934570e+02,4.764440e+03,-4.764440e+03,8.290309e+03,5.084207e+03
4,0.000000e+00,4.466194e+03,0.000000e+00,7.387695e+02,4.466194e+03,-4.466194e+03,7.770872e+03,4.749441e+03
5,0.000000e+00,4.177485e+03,0.000000e+00,6.860352e+02,4.177485e+03,-4.177485e+03,7.268066e+03,4.426168e+03
6,0.000000e+00,3.898311e+03,0.000000e+00,6.352539e+02,3.898311e+03,-3.898311e+03,6.781889e+03,4.114380e+03
7,0.000000e+00,3.628672e+03,0.000000e+00,5.864258e+02,3.628672e+03,-3.628672e+03,6.312343e+03,3.814064e+03
8,0.000000e+00,3.368569e+03,0.000000e+00,5.395508e+02,3.368569e+03,-3.368569e+03,5.859427e+03,3.525210e+03
9,0.000000e+00,3.118001e+03,0.000000e+00,4.946289e+02,3.118001e+03,-3.118001e+03,5.423141e+03,3.247807e+03
10,0.000000e+00,2.876969e+03,0.000000e+00,4.516602e+02,2.876969e+03,-2.876969e+03,5.003484e+03,2.981843e+03
11,0.000000e+00,2.645473e+03,0.000000e+00,4.106445e+02,2.645473e+03,-2.645473e+03,4.600458e+03,2.727308e+03
12,0.000000e+00,2.423512e+03,0.000000e+00,3.715820e+02,2.423512e+03,-2.423512e+03,4.214061e+03,2.484187e+03
13,0.000000e+00,2.211087e+03,0.000000e+00,3.344727e+02,2.211087e+03,-2.211087e+03,3.844293e+03,2.252471e+03
14,0.000000e+00,2.008197e+03,0.000000e+00,2.993164e+02,2.008197e+03,-2.008197e+03,3.491154e+03,2.032146e+03
15,0.000000e+00,1.814843e+03,0.000000e+00,2.661133e+02,1.814843e+03,-1.814843e+03,3.154644e+03,1.823201e+03
16,0.000000e+00,1.631024e+03,0.000000e+00,2.348633e+02,1.631024e+03,-1.631024e+03,2.834763e+03,1.625623e+03
17,0.000000e+00,1.456741e+03,0.000000e+00,2.055664e+02,1.456741e+03,-1.456741e+03,2.531509e+03,1.439402e+03
18,0.000000e+00,1.291993e+03,0.000000e+00,1.782227e+02,1.291993e+03,-1.291993e+03,2.244884e+03,1.264529e+03
19,0.000000e+00,1.136781e+03,0.000000e+00,1.528320e+02,1.136781e+03,-1.136781e+03,1.974885e+03,1.100998e+03
20,0.000000e+00,9.911048e+02,0.000000e+00,1.293945e+02,9.911048e+02,-9.911048e+02,1.721514e+03,9.488110e+02
21,0.000000e+00,8.549638e+02,0.000000e+00,1.079102e+02,8.549638e+02,-8.549638e+02,1.484767e+03,8.079842e+02
22,0.000000e+00,7.283583e+02,0.000000e+00,8.837891e+01,7.283583e+02,-7.283583e+02,1.264646e+03,6.785751e+02
23,0.000000e+00,6.112884e+02,0.000000e+00,7.080078e+01,6.112884e+02,-6.112884e+02,1.061147e+03,5.607676e+02
24,0.000000e+00,5.037541e+02,0.000000e+00,5.517578e+01,5.037541e+02,-5.037541e+02,8.742705e+02,4.553098e+02
25,0.000000e+00,4.057553e+02,0.000000e+00,4.150391e+01,4.057553e+02,-4.057553e+02,7.040133e+02,3.665961e+02
26,0.000000e+00,3.172920e+02,0.000000e+00,2.978516e+01,3.172920e+02,-3.172920e+02,5.503725e+02,3.014035e+02
27,0.000000e+00,2.383643e+02,0.000000e+00,2.001953e+01,2.383643e+02,-2.383643e+02,4.133442e+02,2.448886e+02
28,0.000000e+00,1.689721e+02,0.000000e+00,1.220703e+01,1.689721e+02,-1.689721e+02,2.929228e+02,1.899455e+02
29,0.000000e+00,1.091155e+02,0.000000e+00,6.347656e+00,1.091155e+02,-1.091155e+02,1.891002e+02,1.354837e+02
30,0.000000e+00,5.879443e+01,0.000000e+00,2.441406e+00,5.879443e+01,-5.879443e+01,1.018642e+02,8.122827e+01
31,0.000000e+00,1.800889e+01,0.000000e+00,4.882812e-01,1.800889e+01,-1.800889e+01,3.119613e+01,2.706777e+01
