Row (Condensed DOF),Column (Condensed DOF),K Value
0,0,1.760640000000e+10
0,6,-8.803200000000e+09
1,1,5.659200000000e+09
1,5,0.000000000000e+00
1,7,-2.829600000000e+09
1,11,4.421250000000e+07
2,2,5.659200000000e+09
2,4,0.000000000000e+00
2,8,-2.829600000000e+09
2,10,-4.421250000000e+07
3,3,1.351328832000e+05
3,9,-6.756644160000e+04
4,2,0.000000000000e+00
4,4,5.728136625000e+06
4,8,4.421250000000e+07
4,10,-1.482427687500e+06
5,1,0.000000000000e+00
5,5,2.944019422500e+07
5,7,-4.421250000000e+07
5,11,-1.333845648750e+07
6,0,-8.803200000000e+09
6,6,1.760640000000e+10
6,12,-8.803200000000e+09
7,1,-2.829600000000e+09
7,5,-4.421250000000e+07
7,7,5.659200000000e+09
7,11,0.000000000000e+00
7,13,-2.829600000000e+09
7,17,4.421250000000e+07
8,2,-2.829600000000e+09
8,4,4.421250000000e+07
8,8,5.659200000000e+09
8,10,0.000000000000e+00
8,14,-2.829600000000e+09
8,16,-4.421250000000e+07
9,3,-6.756644160000e+04
9,9,1.351328832000e+05
9,15,-6.756644160000e+04
10,2,-4.421250000000e+07
10,4,-1.482427687500e+06
10,8,0.000000000000e+00
10,10,5.728136625000e+06
10,14,4.421250000000e+07
10,16,-1.482427687500e+06
11,1,4.421250000000e+07
11,5,-1.333845648750e+07
11,7,0.000000000000e+00
11,11,2.944019422500e+07
11,13,-4.421250000000e+07
11,17,-1.333845648750e+07
12,6,-8.803200000000e+09
12,12,1.760640000000e+10
12,18,-8.803200000000e+09
13,7,-2.829600000000e+09
13,11,-4.421250000000e+07
13,13,5.659200000000e+09
13,17,0.000000000000e+00
13,19,-2.829600000000e+09
13,23,4.421250000000e+07
14,8,-2.829600000000e+09
14,10,4.421250000000e+07
14,14,5.659200000000e+09
14,16,0.000000000000e+00
14,20,-2.829600000000e+09
14,22,-4.421250000000e+07
15,9,-6.756644160000e+04
15,15,1.351328832000e+05
15,21,-6.756644160000e+04
16,8,-4.421250000000e+07
16,10,-1.482427687500e+06
16,14,0.000000000000e+00
16,16,5.728136625000e+06
16,20,4.421250000000e+07
16,22,-1.482427687500e+06
17,7,4.421250000000e+07
17,11,-1.333845648750e+07
17,13,0.000000000000e+00
17,17,2.944019422500e+07
17,19,-4.421250000000e+07
17,23,-1.333845648750e+07
18,12,-8.803200000000e+09
18,18,1.760640000000e+10
18,24,-8.803200000000e+09
19,13,-2.829600000000e+09
19,17,-4.421250000000e+07
19,19,5.659200000000e+09
19,23,0.000000000000e+00
19,25,-2.829600000000e+09
19,29,4.421250000000e+07
20,14,-2.829600000000e+09
20,16,4.421250000000e+07
20,20,5.659200000000e+09
20,22,0.000000000000e+00
20,26,-2.829600000000e+09
20,28,-4.421250000000e+07
21,15,-6.756644160000e+04
21,21,1.351328832000e+05
21,27,-6.756644160000e+04
22,14,-4.421250000000e+07
22,16,-1.482427687500e+06
22,20,0.000000000000e+00
22,22,5.728136625000e+06
22,26,4.421250000000e+07
22,28,-1.482427687500e+06
23,13,4.421250000000e+07
23,17,-1.333845648750e+07
23,19,0.000000000000e+00
23,23,2.944019422500e+07
23,25,-4.421250000000e+07
23,29,-1.333845648750e+07
24,18,-8.803200000000e+09
24,24,1.760640000000e+10
24,30,-8.803200000000e+09
25,19,-2.829600000000e+09
25,23,-4.421250000000e+07
25,25,5.659200000000e+09
25,29,0.000000000000e+00
25,31,-2.829600000000e+09
25,35,4.421250000000e+07
26,20,-2.829600000000e+09
26,22,4.421250000000e+07
26,26,5.659200000000e+09
26,28,0.000000000000e+00
26,32,-2.829600000000e+09
26,34,-4.421250000000e+07
27,21,-6.756644160000e+04
27,27,1.351328832000e+05
27,33,-6.756644160000e+04
28,20,-4.421250000000e+07
28,22,-1.482427687500e+06
28,26,0.000000000000e+00
28,28,5.728136625000e+06
28,32,4.421250000000e+07
28,34,-1.482427687500e+06
29,19,4.421250000000e+07
29,23,-1.333845648750e+07
29,25,0.000000000000e+00
29,29,2.944019422500e+07
29,31,-4.421250000000e+07
29,35,-1.333845648750e+07
30,24,-8.803200000000e+09
30,30,1.760640000000e+10
30,36,-8.803200000000e+09
31,25,-2.829600000000e+09
31,29,-4.421250000000e+07
31,31,5.659200000000e+09
31,35,0.000000000000e+00
31,37,-2.829600000000e+09
31,41,4.421250000000e+07
32,26,-2.829600000000e+09
32,28,4.421250000000e+07
32,32,5.659200000000e+09
32,34,0.000000000000e+00
32,38,-2.829600000000e+09
32,40,-4.421250000000e+07
33,27,-6.756644160000e+04
33,33,1.351328832000e+05
33,39,-6.756644160000e+04
34,26,-4.421250000000e+07
34,28,-1.482427687500e+06
34,32,0.000000000000e+00
34,34,5.728136625000e+06
34,38,4.421250000000e+07
34,40,-1.482427687500e+06
35,25,4.421250000000e+07
35,29,-1.333845648750e+07
35,31,0.000000000000e+00
35,35,2.944019422500e+07
35,37,-4.421250000000e+07
35,41,-1.333845648750e+07
36,30,-8.803200000000e+09
36,36,1.760640000000e+10
36,42,-8.803200000000e+09
37,31,-2.829600000000e+09
37,35,-4.421250000000e+07
37,37,5.659200000000e+09
37,41,0.000000000000e+00
37,43,-2.829600000000e+09
37,47,4.421250000000e+07
38,32,-2.829600000000e+09
38,34,4.421250000000e+07
38,38,5.659200000000e+09
38,40,0.000000000000e+00
38,44,-2.829600000000e+09
38,46,-4.421250000000e+07
39,33,-6.756644160000e+04
39,39,1.351328832000e+05
39,45,-6.756644160000e+04
40,32,-4.421250000000e+07
40,34,-1.482427687500e+06
40,38,0.000000000000e+00
40,40,5.728136625000e+06
40,44,4.421250000000e+07
40,46,-1.482427687500e+06
41,31,4.421250000000e+07
41,35,-1.333845648750e+07
41,37,0.000000000000e+00
41,41,2.944019422500e+07
41,43,-4.421250000000e+07
41,47,-1.333845648750e+07
42,36,-8.803200000000e+09
42,42,1.760640000000e+10
42,48,-8.803200000000e+09
43,37,-2.829600000000e+09
43,41,-4.421250000000e+07
43,43,5.659200000000e+09
43,47,0.000000000000e+00
43,49,-2.829600000000e+09
43,53,4.421250000000e+07
44,38,-2.829600000000e+09
44,40,4.421250000000e+07
44,44,5.659200000000e+09
44,46,0.000000000000e+00
44,50,-2.829600000000e+09
44,52,-4.421250000000e+07
45,39,-6.756644160000e+04
45,45,1.351328832000e+05
45,51,-6.756644160000e+04
46,38,-4.421250000000e+07
46,40,-1.482427687500e+06
46,44,0.000000000000e+00
46,46,5.728136625000e+06
46,50,4.421250000000e+07
46,52,-1.482427687500e+06
47,37,4.421250000000e+07
47,41,-1.333845648750e+07
47,43,0.000000000000e+00
47,47,2.944019422500e+07
47,49,-4.421250000000e+07
47,53,-1.333845648750e+07
48,42,-8.803200000000e+09
48,48,1.760640000000e+10
48,54,-8.803200000000e+09
49,43,-2.829600000000e+09
49,47,-4.421250000000e+07
49,49,5.659200000000e+09
49,53,0.000000000000e+00
49,55,-2.829600000000e+09
49,59,4.421250000000e+07
50,44,-2.829600000000e+09
50,46,4.421250000000e+07
50,50,5.659200000000e+09
50,52,0.000000000000e+00
50,56,-2.829600000000e+09
50,58,-4.421250000000e+07
51,45,-6.756644160000e+04
51,51,1.351328832000e+05
51,57,-6.756644160000e+04
52,44,-4.421250000000e+07
52,46,-1.482427687500e+06
52,50,0.000000000000e+00
52,52,5.728136625000e+06
52,56,4.421250000000e+07
52,58,-1.482427687500e+06
53,43,4.421250000000e+07
53,47,-1.333845648750e+07
53,49,0.000000000000e+00
53,53,2.944019422500e+07
53,55,-4.421250000000e+07
53,59,-1.333845648750e+07
54,48,-8.803200000000e+09
54,54,1.760640000000e+10
54,60,-8.803200000000e+09
55,49,-2.829600000000e+09
55,53,-4.421250000000e+07
55,55,5.659200000000e+09
55,59,0.000000000000e+00
55,61,-2.829600000000e+09
55,65,4.421250000000e+07
56,50,-2.829600000000e+09
56,52,4.421250000000e+07
56,56,5.659200000000e+09
56,58,0.000000000000e+00
56,62,-2.829600000000e+09
56,64,-4.421250000000e+07
57,51,-6.756644160000e+04
57,57,1.351328832000e+05
57,63,-6.756644160000e+04
58,50,-4.421250000000e+07
58,52,-1.482427687500e+06
58,56,0.000000000000e+00
58,58,5.728136625000e+06
58,62,4.421250000000e+07
58,64,-1.482427687500e+06
59,49,4.421250000000e+07
59,53,-1.333845648750e+07
59,55,0.000000000000e+00
59,59,2.944019422500e+07
59,61,-4.421250000000e+07
59,65,-1.333845648750e+07
60,54,-8.803200000000e+09
60,60,1.760640000000e+10
60,66,-8.803200000000e+09
61,55,-2.829600000000e+09
61,59,-4.421250000000e+07
61,61,5.659200000000e+09
61,65,0.000000000000e+00
61,67,-2.829600000000e+09
61,71,4.421250000000e+07
62,56,-2.829600000000e+09
62,58,4.421250000000e+07
62,62,5.659200000000e+09
62,64,0.000000000000e+00
62,68,-2.829600000000e+09
62,70,-4.421250000000e+07
63,57,-6.756644160000e+04
63,63,1.351328832000e+05
63,69,-6.756644160000e+04
64,56,-4.421250000000e+07
64,58,-1.482427687500e+06
64,62,0.000000000000e+00
64,64,5.728136625000e+06
64,68,4.421250000000e+07
64,70,-1.482427687500e+06
65,55,4.421250000000e+07
65,59,-1.333845648750e+07
65,61,0.000000000000e+00
65,65,2.944019422500e+07
65,67,-4.421250000000e+07
65,71,-1.333845648750e+07
66,60,-8.803200000000e+09
66,66,1.760640000000e+10
66,72,-8.803200000000e+09
67,61,-2.829600000000e+09
67,65,-4.421250000000e+07
67,67,5.659200000000e+09
67,71,0.000000000000e+00
67,73,-2.829600000000e+09
67,77,4.421250000000e+07
68,62,-2.829600000000e+09
68,64,4.421250000000e+07
68,68,5.659200000000e+09
68,70,0.000000000000e+00
68,74,-2.829600000000e+09
68,76,-4.421250000000e+07
69,63,-6.756644160000e+04
69,69,1.351328832000e+05
69,75,-6.756644160000e+04
70,62,-4.421250000000e+07
70,64,-1.482427687500e+06
70,68,0.000000000000e+00
70,70,5.728136625000e+06
70,74,4.421250000000e+07
70,76,-1.482427687500e+06
71,61,4.421250000000e+07
71,65,-1.333845648750e+07
71,67,0.000000000000e+00
71,71,2.944019422500e+07
71,73,-4.421250000000e+07
71,77,-1.333845648750e+07
72,66,-8.803200000000e+09
72,72,1.760640000000e+10
72,78,-8.803200000000e+09
73,67,-2.829600000000e+09
73,71,-4.421250000000e+07
73,73,5.659200000000e+09
73,77,0.000000000000e+00
73,79,-2.829600000000e+09
73,83,4.421250000000e+07
74,68,-2.829600000000e+09
74,70,4.421250000000e+07
74,74,5.659200000000e+09
74,76,0.000000000000e+00
74,80,-2.829600000000e+09
74,82,-4.421250000000e+07
75,69,-6.756644160000e+04
75,75,1.351328832000e+05
75,81,-6.756644160000e+04
76,68,-4.421250000000e+07
76,70,-1.482427687500e+06
76,74,0.000000000000e+00
76,76,5.728136625000e+06
76,80,4.421250000000e+07
76,82,-1.482427687500e+06
77,67,4.421250000000e+07
77,71,-1.333845648750e+07
77,73,0.000000000000e+00
77,77,2.944019422500e+07
77,79,-4.421250000000e+07
77,83,-1.333845648750e+07
78,72,-8.803200000000e+09
78,78,1.760640000000e+10
78,84,-8.803200000000e+09
79,73,-2.829600000000e+09
79,77,-4.421250000000e+07
79,79,5.659200000000e+09
79,83,0.000000000000e+00
79,85,-2.829600000000e+09
79,89,4.421250000000e+07
80,74,-2.829600000000e+09
80,76,4.421250000000e+07
80,80,5.659200000000e+09
80,82,0.000000000000e+00
