Condensed DOF,Value
0,0.000000000000e+00
1,-1.447121951880e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-7.017447045600e-05
6,0.000000000000e+00
7,-5.047413494043e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.381562606200e-04
12,0.000000000000e+00
13,-1.073289718688e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.039801749411e-04
18,0.000000000000e+00
19,-1.843668322982e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.676810178684e-04
24,0.000000000000e+00
25,-2.809296946132e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.292935938509e-04
30,0.000000000000e+00
31,-3.963704135887e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-3.888527073378e-04
36,0.000000000000e+00
37,-5.300527203900e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.463931627781e-04
42,0.000000000000e+00
43,-6.813512225727e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-5.019497646208e-04
48,0.000000000000e+00
49,-8.496514040828e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.555573173152e-04
54,0.000000000000e+00
55,-1.034349625257e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-6.072506253101e-04
60,0.000000000000e+00
61,-1.234853122821e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-6.570644930548e-04
66,0.000000000000e+00
67,-1.450580009892e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-7.050337249983e-04
72,0.000000000000e+00
73,-1.680959275978e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-7.511931255897e-04
78,0.000000000000e+00
79,-1.925430786976e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-7.955774992781e-04
84,0.000000000000e+00
85,-2.183445285174e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-8.382216505125e-04
90,0.000000000000e+00
91,-2.454464389250e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-8.791603837420e-04
96,0.000000000000e+00
97,-2.737960594274e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-9.184285034157e-04
102,0.000000000000e+00
103,-3.033417271703e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-9.560608139827e-04
108,0.000000000000e+00
109,-3.340328669388e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-9.920921198921e-04
114,0.000000000000e+00
115,-3.658199911568e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.026557225593e-03
120,0.000000000000e+00
121,-3.986546998873e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.059490935534e-03
126,0.000000000000e+00
127,-4.324896808324e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.090928054165e-03
132,0.000000000000e+00
133,-4.672787093330e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.120903385935e-03
138,0.000000000000e+00
139,-5.029766483694e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-1.149451735292e-03
144,0.000000000000e+00
145,-5.395394485605e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.176607906686e-03
150,0.000000000000e+00
151,-5.769241481647e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.202406704566e-03
156,0.000000000000e+00
157,-6.150888730791e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.226882933381e-03
162,0.000000000000e+00
163,-6.539928368399e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.250071397580e-03
168,0.000000000000e+00
169,-6.935963406225e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.272006901613e-03
174,0.000000000000e+00
175,-7.338607732410e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.292724249927e-03
180,0.000000000000e+00
181,-7.747486111489e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.312258246973e-03
186,0.000000000000e+00
187,-8.162234184385e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-1.330643697199e-03
192,0.000000000000e+00
193,-8.582498468413e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.347915405055e-03
198,0.000000000000e+00
199,-9.007936357276e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.364108174989e-03
204,0.000000000000e+00
205,-9.438216121069e-04
