# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-9.921875000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.844970703206e+02
0.000000000000e+00,-9.765625000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.537353515705e+02
0.000000000000e+00,-9.609375000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.234619140703e+02
0.000000000000e+00,-9.453125000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.936767578201e+02
0.000000000000e+00,-9.296875000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.643798828200e+02
0.000000000000e+00,-9.140625000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.355712890698e+02
0.000000000000e+00,-8.984375000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.072509765697e+02
0.000000000000e+00,-8.828125000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.794189453195e+02
0.000000000000e+00,-8.671875000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.520751953193e+02
0.000000000000e+00,-8.515625000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.252197265692e+02
0.000000000000e+00,-8.359375000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.988525390690e+02
0.000000000000e+00,-8.203125000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.729736328189e+02
0.000000000000e+00,-8.046875000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.475830078187e+02
0.000000000000e+00,-7.890625000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.226806640685e+02
0.000000000000e+00,-7.734375000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.982666015684e+02
0.000000000000e+00,-7.578125000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.743408203182e+02
0.000000000000e+00,-7.421875000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.509033203181e+02
0.000000000000e+00,-7.265625000050e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.279541015679e+02
0.000000000000e+00,-7.109375000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.054931640678e+02
0.000000000000e+00,-6.953125000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.835205078176e+02
0.000000000000e+00,-6.796875000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.620361328175e+02
0.000000000000e+00,-6.640625000051e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.410400390673e+02
0.000000000000e+00,-6.484375000048e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.205322265671e+02
0.000000000000e+00,-6.328125000048e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.005126953170e+02
0.000000000000e+00,-6.171875000055e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.809814453168e+02
0.000000000000e+00,-6.015625000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.619384765667e+02
0.000000000000e+00,-5.859375000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.433837890665e+02
0.000000000000e+00,-5.703125000054e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.253173828163e+02
0.000000000000e+00,-5.546875000057e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.077392578162e+02
0.000000000000e+00,-5.390625000058e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.906494140660e+02
0.000000000000e+00,-5.234375000055e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.740478515658e+02
0.000000000000e+00,-5.078125000054e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.579345703157e+02
0.000000000000e+00,-4.921875000058e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.423095703155e+02
0.000000000000e+00,-4.765625000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.271728515653e+02
0.000000000000e+00,-4.609375000053e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.125244140652e+02
0.000000000000e+00,-4.453125000047e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.983642578150e+02
0.000000000000e+00,-4.296875000047e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.846923828149e+02
0.000000000000e+00,-4.140625000032e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.715087890648e+02
0.000000000000e+00,-3.984375000030e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.588134765646e+02
0.000000000000e+00,-3.828125000038e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.466064453145e+02
0.000000000000e+00,-3.671875000045e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.348876953144e+02
0.000000000000e+00,-3.515625000044e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.236572265642e+02
0.000000000000e+00,-3.359375000047e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.129150390641e+02
0.000000000000e+00,-3.203125000040e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.026611328140e+02
0.000000000000e+00,-3.046875000037e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.289550781385e+01
0.000000000000e+00,-2.890625000030e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.361816406375e+01
0.000000000000e+00,-2.734375000033e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.482910156366e+01
0.000000000000e+00,-2.578125000032e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.652832031356e+01
0.000000000000e+00,-2.421875000032e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.871582031345e+01
0.000000000000e+00,-2.265625000036e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.139160156334e+01
0.000000000000e+00,-2.109375000031e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.455566406323e+01
0.000000000000e+00,-1.953125000024e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.820800781313e+01
0.000000000000e+00,-1.796875000030e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.234863281305e+01
0.000000000000e+00,-1.640625000013e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.697753906298e+01
0.000000000000e+00,-1.484375000011e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.209472656295e+01
0.000000000000e+00,-1.328125000027e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.770019531290e+01
0.000000000000e+00,-1.171875000010e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.379394531284e+01
0.000000000000e+00,-1.015625000024e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.037597656277e+01
0.000000000000e+00,-8.593750000271e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.446289062690e+00
0.000000000000e+00,-7.031250000178e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.004882812633e+00
0.000000000000e+00,-5.468749999928e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.051757812601e+00
0.000000000000e+00,-3.906250000168e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.586914062569e+00
0.000000000000e+00,-2.343750000075e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.103515625136e-01
0.000000000000e+00,-7.812499999478e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.220703125027e-01
