# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-9.921875000052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.844970703206e+02
0.000000000000e+00,-9.359030613005e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.691162109455e+02
0.000000000000e+00,-9.210474571529e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.385986328204e+02
0.000000000000e+00,-9.061918530054e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.085693359452e+02
0.000000000000e+00,-8.913362488578e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.790283203201e+02
0.000000000000e+00,-8.764806447103e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.499755859449e+02
0.000000000000e+00,-8.616250405627e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.214111328197e+02
0.000000000000e+00,-8.467694364152e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.933349609446e+02
0.000000000000e+00,-8.319138322676e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.657470703194e+02
0.000000000000e+00,-8.170582281201e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.386474609443e+02
0.000000000000e+00,-8.022026239725e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.120361328191e+02
0.000000000000e+00,-7.873470198250e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.859130859439e+02
0.000000000000e+00,-7.724914156774e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.602783203188e+02
0.000000000000e+00,-7.576358115298e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.351318359436e+02
0.000000000000e+00,-7.427802073823e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.104736328185e+02
0.000000000000e+00,-7.279246032348e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.863037109433e+02
0.000000000000e+00,-7.130689990872e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.626220703182e+02
0.000000000000e+00,-6.982133949397e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.394287109430e+02
0.000000000000e+00,-6.833577907920e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.167236328178e+02
0.000000000000e+00,-6.685021866446e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.945068359427e+02
0.000000000000e+00,-6.536465824971e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.727783203175e+02
0.000000000000e+00,-6.387909783495e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.515380859424e+02
0.000000000000e+00,-6.239353742017e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.307861328172e+02
0.000000000000e+00,-6.090797700542e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.105224609421e+02
0.000000000000e+00,-5.942241659068e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.907470703169e+02
0.000000000000e+00,-5.793685617595e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.714599609417e+02
0.000000000000e+00,-5.645129576119e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.526611328166e+02
0.000000000000e+00,-5.496573534644e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.343505859414e+02
0.000000000000e+00,-5.348017493169e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.165283203163e+02
0.000000000000e+00,-5.199461451699e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.991943359411e+02
0.000000000000e+00,-5.050905410219e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.823486328159e+02
0.000000000000e+00,-4.902349368743e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.659912109407e+02
0.000000000000e+00,-4.753793327270e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.501220703156e+02
0.000000000000e+00,-4.605237285793e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.347412109404e+02
0.000000000000e+00,-4.456681244314e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.198486328153e+02
0.000000000000e+00,-4.308125202838e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.054443359401e+02
0.000000000000e+00,-4.159569161356e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.915283203150e+02
0.000000000000e+00,-4.011013119877e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.781005859398e+02
