N,Vy,Vz,T,My,Mz
0.000000000000e+00,-1.544316589785e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.627604961501e+02
0.000000000000e+00,-4.938046439919e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.588545640415e+02
0.000000000000e+00,-4.937142183022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.510434150800e+02
0.000000000000e+00,-4.935635088195e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.432341734671e+02
0.000000000000e+00,-4.933525155436e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.354277928772e+02
0.000000000000e+00,-4.930812384746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.276252269846e+02
0.000000000000e+00,-4.927496776124e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.198274294635e+02
0.000000000000e+00,-4.923578329572e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.120353539883e+02
0.000000000000e+00,-4.919057045089e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.042499542334e+02
0.000000000000e+00,-4.913932922674e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.964721838729e+02
0.000000000000e+00,-4.908205962328e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.887029965814e+02
0.000000000000e+00,-4.901876164052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.809433460330e+02
0.000000000000e+00,-4.894943527843e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.731941859020e+02
0.000000000000e+00,-4.887408053704e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.654564698629e+02
0.000000000000e+00,-4.879269741634e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.577311515899e+02
0.000000000000e+00,-4.870528591632e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.500191847573e+02
0.000000000000e+00,-4.861184603700e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.423215230395e+02
0.000000000000e+00,-4.851237777836e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.346391201107e+02
0.000000000000e+00,-4.840688114041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.269729296453e+02
0.000000000000e+00,-4.829535612315e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.193239053176e+02
0.000000000000e+00,-4.817780272658e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.116930008019e+02
0.000000000000e+00,-4.805422095069e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.040811697725e+02
0.000000000000e+00,-4.792461079550e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.964893659038e+02
0.000000000000e+00,-4.778897226100e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.889185428701e+02
0.000000000000e+00,-4.764730534719e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.813696543456e+02
0.000000000000e+00,-4.749961005406e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.738436540047e+02
0.000000000000e+00,-4.734588638162e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.663414955217e+02
0.000000000000e+00,-4.718613432987e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.588641325710e+02
0.000000000000e+00,-4.702035389880e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.514125188268e+02
0.000000000000e+00,-4.684854508842e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.439876079634e+02
0.000000000000e+00,-4.667070789874e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.365903536552e+02
0.000000000000e+00,-4.648684232976e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.292217095766e+02
