# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.999898274810e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.627604961501e+02
0.000000000000e+00,-4.999287923247e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.549486319329e+02
0.000000000000e+00,-4.998067220122e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.471381982271e+02
0.000000000000e+00,-4.996236165435e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.393301487071e+02
0.000000000000e+00,-4.993794759185e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.315254370473e+02
0.000000000000e+00,-4.990743001372e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.237250169218e+02
0.000000000000e+00,-4.987080891997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.159298420051e+02
0.000000000000e+00,-4.982808431060e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.081408659715e+02
0.000000000000e+00,-4.977925618560e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.003590424952e+02
0.000000000000e+00,-4.972432454497e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.925853252507e+02
0.000000000000e+00,-4.966328938872e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.848206679121e+02
0.000000000000e+00,-4.959615071685e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.770660241538e+02
0.000000000000e+00,-4.952290852934e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.693223476502e+02
0.000000000000e+00,-4.944356282622e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.615905920756e+02
0.000000000000e+00,-4.935811360747e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.538717111042e+02
0.000000000000e+00,-4.926656087309e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.461666584104e+02
0.000000000000e+00,-4.916890462309e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.384763876685e+02
0.000000000000e+00,-4.906514485746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.308018525529e+02
0.000000000000e+00,-4.895528157621e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.231440067377e+02
0.000000000000e+00,-4.883931477933e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.155038038974e+02
0.000000000000e+00,-4.871724446683e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.078821977063e+02
0.000000000000e+00,-4.858907063871e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.002801418387e+02
0.000000000000e+00,-4.845479329496e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.926985899689e+02
0.000000000000e+00,-4.831441243559e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.851384957712e+02
0.000000000000e+00,-4.816792806059e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.776008129199e+02
0.000000000000e+00,-4.801534016996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.700864950894e+02
0.000000000000e+00,-4.785664876371e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.625964959540e+02
0.000000000000e+00,-4.769185384182e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.551317691879e+02
0.000000000000e+00,-4.752095540432e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.476932684656e+02
0.000000000000e+00,-4.734395345119e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.402819474612e+02
0.000000000000e+00,-4.716084798245e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.328987598492e+02
0.000000000000e+00,-4.697163899809e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.255446593039e+02
0.000000000000e+00,-4.677632649809e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.182205994995e+02
0.000000000000e+00,-4.657491048248e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.109275341104e+02
0.000000000000e+00,-4.636739095124e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.036664168109e+02
0.000000000000e+00,-4.615376790438e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.964382012753e+02
0.000000000000e+00,-4.593404134184e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.892438411779e+02
0.000000000000e+00,-4.570821126375e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.820842901931e+02
0.000000000000e+00,-4.547627766996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.749605019952e+02
0.000000000000e+00,-4.523824056064e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.678734302584e+02
0.000000000000e+00,-4.499409993561e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.608240286571e+02
0.000000000000e+00,-4.474385579494e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.538132508657e+02
0.000000000000e+00,-4.448750813870e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.468420505584e+02
0.000000000000e+00,-4.422505696686e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.399113814095e+02
0.000000000000e+00,-4.395650227934e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.330221970934e+02
0.000000000000e+00,-4.368184407625e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.261754512844e+02
0.000000000000e+00,-4.340108235747e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.193720976567e+02
0.000000000000e+00,-4.311421712307e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.126130898848e+02
0.000000000000e+00,-4.282124837312e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.058993816429e+02
0.000000000000e+00,-4.252217610740e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.992319266054e+02
0.000000000000e+00,-4.221700032618e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.926116784465e+02
0.000000000000e+00,-4.190572102927e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.860395908406e+02
0.000000000000e+00,-4.158833821683e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.795166174620e+02
0.000000000000e+00,-4.126485188876e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.730437119850e+02
0.000000000000e+00,-4.093526204495e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.666218280840e+02
0.000000000000e+00,-4.059956868550e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.602519194332e+02
0.000000000000e+00,-4.025777181060e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.539349397069e+02
0.000000000000e+00,-3.990987141992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.476718425795e+02
0.000000000000e+00,-3.955586751369e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.414635817253e+02
0.000000000000e+00,-3.919576009180e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.353111108186e+02
0.000000000000e+00,-3.882954915439e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.292153835338e+02
0.000000000000e+00,-3.845723470117e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.231773535451e+02
0.000000000000e+00,-3.807881673248e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.171979745268e+02
0.000000000000e+00,-3.769429524805e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.112782001533e+02
0.000000000000e+00,-3.730367024808e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.054189840990e+02
0.000000000000e+00,-3.690694173247e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.996212800380e+02
0.000000000000e+00,-3.650410970119e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.938860416447e+02
0.000000000000e+00,-3.609517415438e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.882142225935e+02
0.000000000000e+00,-3.568013509185e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.826067765586e+02
0.000000000000e+00,-3.525899251372e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.770646572145e+02
0.000000000000e+00,-3.483174641991e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.715888182353e+02
0.000000000000e+00,-3.439839681061e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.661802132954e+02
0.000000000000e+00,-3.395894368558e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.608397960691e+02
0.000000000000e+00,-3.351338704492e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.555685202308e+02
0.000000000000e+00,-3.306172688880e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.503673394548e+02
0.000000000000e+00,-3.260396321691e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.452372074153e+02
0.000000000000e+00,-3.214009602955e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.401790777866e+02
0.000000000000e+00,-3.167012532629e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.351939042432e+02
0.000000000000e+00,-3.119405110759e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.302826404593e+02
0.000000000000e+00,-3.071187337314e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.254462401093e+02
0.000000000000e+00,-3.022359212305e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.206856568674e+02
0.000000000000e+00,-2.972920735734e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.160018444080e+02
0.000000000000e+00,-2.922871907609e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.113957564054e+02
0.000000000000e+00,-2.872212727912e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.068683465339e+02
0.000000000000e+00,-2.820943196665e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.024205684678e+02
0.000000000000e+00,-2.769063313840e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.805337588148e+01
0.000000000000e+00,-2.716573079478e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.376772244918e+01
0.000000000000e+00,-2.663472493551e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.956456184526e+01
0.000000000000e+00,-2.609761556041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.544484774402e+01
0.000000000000e+00,-2.555440266982e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.140953381979e+01
0.000000000000e+00,-2.500508626356e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.745957374687e+01
0.000000000000e+00,-2.444966634153e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.359592119960e+01
0.000000000000e+00,-2.388814290428e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.981952985228e+01
0.000000000000e+00,-2.332051595079e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.613135337924e+01
0.000000000000e+00,-2.274678548220e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.253234545478e+01
