element_id,total_strain_energy
0,7.881614031143e-03
1,7.697422297368e-03
2,7.515442150605e-03
3,7.335694214469e-03
4,7.158198049128e-03
5,6.982972152283e-03
6,6.810033960473e-03
7,6.639399850695e-03
8,6.471085142364e-03
9,6.305104099587e-03
10,6.141469933769e-03
11,5.980194806539e-03
12,5.821289833009e-03
13,5.664765085353e-03
14,5.510629596709e-03
15,5.358891365415e-03
16,5.209557359564e-03
17,5.062633521884e-03
18,4.918124774949e-03
19,4.776035026708e-03
20,4.636367176348e-03
21,4.499123120475e-03
22,4.364303759623e-03
23,4.231909005091e-03
24,4.101937786103e-03
25,3.974388057293e-03
26,3.849256806516e-03
27,3.726540062984e-03
28,3.606232905734e-03
29,3.488329472406e-03
30,3.372822968367e-03
31,3.259705676139e-03
32,3.148968965173e-03
33,3.040603301931e-03
34,2.934598260306e-03
35,2.830942532359e-03
36,2.729623939388e-03
37,2.630629443319e-03
38,2.533945158421e-03
39,2.439556363349e-03
40,2.347447513515e-03
41,2.257602253777e-03
42,2.170003431461e-03
43,2.084633109704e-03
44,2.001472581124e-03
45,1.920502381815e-03
46,1.841702305670e-03
47,1.765051419022e-03
48,1.690528075622e-03
49,1.618109931932e-03
50,1.547773962749e-03
51,1.479496477153e-03
52,1.413253134781e-03
53,1.349018962426e-03
54,1.286768370959e-03
55,1.226475172584e-03
56,1.168112598409e-03
57,1.111653316348e-03
58,1.057069449351e-03
59,1.004332593949e-03
60,9.534138391386e-04
61,9.042837855796e-04
62,8.569125651260e-04
63,8.112698606787e-04
64,7.673249263653e-04
65,7.250466080444e-04
66,6.844033641360e-04
67,6.453632867773e-04
68,6.078941233035e-04
69,5.719632980549e-04
70,5.375379345083e-04
71,5.045848777351e-04
72,4.730707171840e-04
73,4.429618097901e-04
74,4.142243034079e-04
75,3.868241605714e-04
76,3.607271825792e-04
77,3.358990339040e-04
78,3.123052669297e-04
79,2.899113470113e-04
80,2.686826778631e-04
81,2.485846272700e-04
82,2.295825531254e-04
83,2.116418297949e-04
84,1.947278748045e-04
85,1.788061758548e-04
86,1.638423181610e-04
87,1.498020121174e-04
88,1.366511212887e-04
89,1.243556907255e-04
90,1.128819756059e-04
91,1.021964702026e-04
92,9.226593717581e-05
93,8.305743718968e-05
94,7.453835885787e-05
95,6.667644901051e-05
96,5.943984328957e-05
97,5.279709706850e-05
98,4.671721669746e-05
99,4.116969107391e-05
100,3.612452353921e-05
101,3.155226410003e-05
102,2.742404197571e-05
103,2.371159847080e-05
104,2.038732017313e-05
105,1.742427247759e-05
106,1.479623343512e-05
107,1.247772792700e-05
108,1.044406216552e-05
109,8.671358518585e-06
110,7.136590661411e-06
111,5.817619052316e-06
112,4.693226735375e-06
113,3.743155467054e-06
114,2.948142169434e-06
115,2.289955708497e-06
116,1.751433997869e-06
117,1.316521427877e-06
118,9.703066207384e-07
119,6.990605103133e-07
120,4.902747480430e-07
121,3.327004338566e-07
122,2.163871731373e-07
123,1.327224584218e-07
124,7.447137724587e-08
125,3.581664500291e-08
126,1.239896357195e-08
127,1.357705170013e-09
