element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,1.308922e+03,0.000000e+00,6.627605e+02,1.308922e+03,-1.308922e+03,2.362008e+03,1.434779e+03
1,0.000000e+00,1.299326e+03,0.000000e+00,6.549486e+02,1.299326e+03,-1.299326e+03,2.343865e+03,1.421677e+03
2,0.000000e+00,1.289671e+03,0.000000e+00,6.471382e+02,1.289671e+03,-1.289671e+03,2.325627e+03,1.408575e+03
3,0.000000e+00,1.279958e+03,0.000000e+00,6.393301e+02,1.279958e+03,-1.279958e+03,2.307297e+03,1.395476e+03
4,0.000000e+00,1.270188e+03,0.000000e+00,6.315254e+02,1.270188e+03,-1.270188e+03,2.288876e+03,1.382381e+03
5,0.000000e+00,1.260362e+03,0.000000e+00,6.237250e+02,1.260362e+03,-1.260362e+03,2.270367e+03,1.369293e+03
6,0.000000e+00,1.250481e+03,0.000000e+00,6.159298e+02,1.250481e+03,-1.250481e+03,2.251772e+03,1.356213e+03
7,0.000000e+00,1.240547e+03,0.000000e+00,6.081409e+02,1.240547e+03,-1.240547e+03,2.233093e+03,1.343145e+03
8,0.000000e+00,1.230561e+03,0.000000e+00,6.003590e+02,1.230561e+03,-1.230561e+03,2.214333e+03,1.330090e+03
9,0.000000e+00,1.220523e+03,0.000000e+00,5.925853e+02,1.220523e+03,-1.220523e+03,2.195492e+03,1.317050e+03
10,0.000000e+00,1.210436e+03,0.000000e+00,5.848207e+02,1.210436e+03,-1.210436e+03,2.176575e+03,1.304029e+03
11,0.000000e+00,1.200299e+03,0.000000e+00,5.770660e+02,1.200299e+03,-1.200299e+03,2.157582e+03,1.291027e+03
12,0.000000e+00,1.190115e+03,0.000000e+00,5.693223e+02,1.190115e+03,-1.190115e+03,2.138516e+03,1.278048e+03
13,0.000000e+00,1.179885e+03,0.000000e+00,5.615906e+02,1.179885e+03,-1.179885e+03,2.119379e+03,1.265093e+03
14,0.000000e+00,1.169609e+03,0.000000e+00,5.538717e+02,1.169609e+03,-1.169609e+03,2.100174e+03,1.252166e+03
15,0.000000e+00,1.159289e+03,0.000000e+00,5.461667e+02,1.159289e+03,-1.159289e+03,2.080902e+03,1.239269e+03
