Global DOF,Value
0,0.000000000000e+00
1,-5.000000000004e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.666666666672e+02
6,0.000000000000e+00
7,1.818101225126e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,1.136868377216e-13
12,0.000000000000e+00
13,-7.277733971023e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.591615728103e-12
18,0.000000000000e+00
19,-7.277733971023e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.842170943040e-13
24,0.000000000000e+00
25,7.274181257344e-12
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.751665644813e-12
30,0.000000000000e+00
31,1.454836251469e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,2.273736754432e-12
36,0.000000000000e+00
37,6.548006581397e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.136868377216e-13
42,0.000000000000e+00
43,-5.093170329928e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,2.273736754432e-13
48,0.000000000000e+00
49,7.268852186826e-12
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.261923898710e-11
54,0.000000000000e+00
55,1.309672370553e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-5.229594535194e-12
60,0.000000000000e+00
61,9.458034355703e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-5.684341886081e-12
66,0.000000000000e+00
67,1.018563011712e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,4.888534022029e-12
72,0.000000000000e+00
73,-1.164224272543e-10
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-3.524291969370e-12
78,0.000000000000e+00
79,-7.276668156919e-11
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.557509676786e-11
84,0.000000000000e+00
85,3.128590719825e-10
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,9.890754881781e-12
90,0.000000000000e+00
91,-7.277378699655e-11
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-2.728484105319e-12
96,0.000000000000e+00
97,2.279776367686e-10
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,7.275957614183e-12
