Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.202966587998e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.811803604221e-04
12,0.000000000000e+00
13,-4.559341320179e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-3.446336547800e-04
18,0.000000000000e+00
19,-9.848288839393e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-4.905687097681e-04
24,0.000000000000e+00
25,-1.685245423339e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-6.193335698772e-04
30,0.000000000000e+00
31,-2.535970325729e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-7.314154973945e-04
36,0.000000000000e+00
37,-3.516486255603e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-8.274409724034e-04
42,0.000000000000e+00
43,-4.607145988681e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-9.081756927836e-04
48,0.000000000000e+00
49,-5.789346434155e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-9.745245742111e-04
54,0.000000000000e+00
55,-7.045702656936e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.027531750158e-03
60,0.000000000000e+00
61,-8.360221899897e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.068380571894e-03
66,0.000000000000e+00
67,-9.718477606121e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.098393608483e-03
72,0.000000000000e+00
73,-1.110778344114e-03
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.119032646787e-03
78,0.000000000000e+00
79,-1.251736731520e-03
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.131898691463e-03
84,0.000000000000e+00
85,-1.393854540547e-03
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.138731964966e-03
90,-0.000000000000e+00
91,-1.536489617832e-03
92,-0.000000000000e+00
93,-0.000000000000e+00
94,-0.000000000000e+00
95,-1.141411907545e-03
96,0.000000000000e+00
97,-1.679243441157e-03
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.141957177247e-03
