# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.993489583337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.354573567713e+02
0.000000000000e+00,-4.954427083337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.732828776046e+02
0.000000000000e+00,-4.876302083337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.118408203129e+02
0.000000000000e+00,-4.759114583337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.516194661462e+02
0.000000000000e+00,-4.602864583337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.931070963545e+02
0.000000000000e+00,-4.407552083337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.367919921877e+02
0.000000000000e+00,-4.173177083337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.831624348960e+02
0.000000000000e+00,-3.899739583337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.327067057293e+02
0.000000000000e+00,-3.587239583337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.859130859376e+02
0.000000000000e+00,-3.235677083337e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.432698567709e+02
0.000000000000e+00,-2.845052083335e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.052652994792e+02
0.000000000000e+00,-2.415364583333e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.238769531253e+01
0.000000000000e+00,-1.946614583334e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.512532552085e+01
0.000000000000e+00,-1.438802083336e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.396647135418e+01
0.000000000000e+00,-8.919270833340e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.399414062506e+00
0.000000000000e+00,-3.059895833353e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.912434895846e+00
