element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,6.704207e+03,0.000000e+00,6.354574e+02,6.704207e+03,-6.704207e+03,1.162940e+04,7.535095e+03
1,0.000000e+00,6.093204e+03,0.000000e+00,5.732829e+02,6.093204e+03,-6.093204e+03,1.056930e+04,6.819119e+03
2,0.000000e+00,5.485447e+03,0.000000e+00,5.118408e+02,5.485447e+03,-5.485447e+03,9.514850e+03,6.110353e+03
3,0.000000e+00,4.885703e+03,0.000000e+00,4.516195e+02,4.885703e+03,-4.885703e+03,8.474328e+03,5.414290e+03
4,0.000000e+00,4.298740e+03,0.000000e+00,3.931071e+02,4.298740e+03,-4.298740e+03,7.456006e+03,4.736414e+03
5,0.000000e+00,3.729326e+03,0.000000e+00,3.367920e+02,3.729326e+03,-3.729326e+03,6.468156e+03,4.082201e+03
6,0.000000e+00,3.182228e+03,0.000000e+00,2.831624e+02,3.182228e+03,-3.182228e+03,5.519049e+03,3.457116e+03
7,0.000000e+00,2.662214e+03,0.000000e+00,2.327067e+02,2.662214e+03,-2.662214e+03,4.616959e+03,2.866617e+03
8,0.000000e+00,2.174053e+03,0.000000e+00,1.859131e+02,2.174053e+03,-2.174053e+03,3.770157e+03,2.316153e+03
9,0.000000e+00,1.722511e+03,0.000000e+00,1.432699e+02,1.722511e+03,-1.722511e+03,2.986915e+03,1.811161e+03
10,0.000000e+00,1.312357e+03,0.000000e+00,1.052653e+02,1.312357e+03,-1.312357e+03,2.275506e+03,1.357071e+03
11,0.000000e+00,9.483586e+02,0.000000e+00,7.238770e+01,9.483586e+02,-9.483586e+02,1.644200e+03,9.593041e+02
12,0.000000e+00,6.352830e+02,0.000000e+00,4.512533e+01,6.352830e+02,-6.352830e+02,1.101267e+03,6.232786e+02
13,0.000000e+00,3.778983e+02,0.000000e+00,2.396647e+01,3.778983e+02,-3.778983e+02,6.549777e+02,3.544292e+02
14,0.000000e+00,1.809723e+02,0.000000e+00,9.399414e+00,1.809723e+02,-1.809723e+02,3.135941e+02,1.595930e+02
15,0.000000e+00,4.927273e+01,0.000000e+00,1.912435e+00,4.927273e+01,-4.927273e+01,8.536430e+01,5.304704e+01
