Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-9.765625000000e-01
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-1.953125000000e+00
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,0.000000000000e+00
18,0.000000000000e+00
19,-2.929687500000e+00
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-3.906250000000e+00
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
30,0.000000000000e+00
31,-4.882812500000e+00
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,0.000000000000e+00
36,0.000000000000e+00
37,-5.859375000000e+00
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,0.000000000000e+00
42,0.000000000000e+00
43,-6.835937500000e+00
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,0.000000000000e+00
48,0.000000000000e+00
49,-7.812500000000e+00
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,0.000000000000e+00
54,0.000000000000e+00
55,-8.789062500000e+00
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,0.000000000000e+00
60,0.000000000000e+00
61,-9.765625000000e+00
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,0.000000000000e+00
66,0.000000000000e+00
67,-1.074218750000e+01
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,0.000000000000e+00
72,0.000000000000e+00
73,-1.171875000000e+01
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,0.000000000000e+00
78,0.000000000000e+00
79,-1.269531250000e+01
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,0.000000000000e+00
84,0.000000000000e+00
85,-1.367187500000e+01
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,0.000000000000e+00
90,0.000000000000e+00
91,-1.464843750000e+01
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,0.000000000000e+00
96,0.000000000000e+00
97,-1.562500000000e+01
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,0.000000000000e+00
102,0.000000000000e+00
103,-1.660156250000e+01
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,0.000000000000e+00
108,0.000000000000e+00
109,-1.757812500000e+01
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,0.000000000000e+00
114,0.000000000000e+00
115,-1.855468750000e+01
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,0.000000000000e+00
120,0.000000000000e+00
121,-1.953125000000e+01
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,0.000000000000e+00
126,0.000000000000e+00
127,-2.050781250000e+01
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,0.000000000000e+00
132,0.000000000000e+00
133,-2.148437500000e+01
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,0.000000000000e+00
138,0.000000000000e+00
139,-2.246093750000e+01
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,0.000000000000e+00
144,0.000000000000e+00
145,-2.343750000000e+01
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,0.000000000000e+00
150,0.000000000000e+00
151,-2.441406250000e+01
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,0.000000000000e+00
156,0.000000000000e+00
157,-2.539062500000e+01
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,0.000000000000e+00
162,0.000000000000e+00
163,-2.636718750000e+01
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,0.000000000000e+00
168,0.000000000000e+00
169,-2.734375000000e+01
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,0.000000000000e+00
174,0.000000000000e+00
175,-2.832031250000e+01
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,0.000000000000e+00
180,0.000000000000e+00
181,-2.929687500000e+01
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,0.000000000000e+00
186,0.000000000000e+00
187,-3.027343750000e+01
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,0.000000000000e+00
192,0.000000000000e+00
193,-1.546223958333e+01
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,0.000000000000e+00
