Global DOF,Value
0,0.000000000000e+00
1,-4.999999999995e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.666666666658e+02
6,0.000000000000e+00
7,9.092726571680e-13
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.136868377216e-13
12,0.000000000000e+00
13,-7.276401703393e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,2.273736754432e-13
18,0.000000000000e+00
19,-1.819433492756e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,4.547473508865e-13
24,0.000000000000e+00
25,3.637534717882e-12
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,1.364242052659e-12
30,0.000000000000e+00
31,3.637090628672e-12
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,4.547473508865e-13
36,0.000000000000e+00
37,4.001687869959e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,9.094947017729e-13
42,0.000000000000e+00
43,1.818989403546e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,1.818989403546e-12
48,0.000000000000e+00
49,-1.491589074476e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.818989403546e-12
54,0.000000000000e+00
55,1.491571310908e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-3.637978807092e-12
60,0.000000000000e+00
61,-7.276135249867e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,2.728484105319e-12
66,0.000000000000e+00
67,-1.746247590972e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-2.728484105319e-12
72,0.000000000000e+00
73,-3.552713678801e-15
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-6.366462912410e-12
78,0.000000000000e+00
79,1.309654606985e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,2.728484105319e-12
84,0.000000000000e+00
85,-1.018669593122e-10
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,9.094947017729e-12
90,0.000000000000e+00
91,7.275602342816e-11
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,2.728484105319e-12
96,0.000000000000e+00
97,-2.401101539817e-10
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-3.637978807092e-12
102,0.000000000000e+00
103,-1.091464696401e-10
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-8.185452315956e-12
108,0.000000000000e+00
109,2.764828366253e-10
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-5.456968210638e-12
114,0.000000000000e+00
115,-2.037268131971e-10
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.091393642128e-11
120,0.000000000000e+00
121,4.292779465231e-10
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-7.275957614183e-12
126,0.000000000000e+00
127,-1.600781729394e-10
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,1.091393642128e-11
132,0.000000000000e+00
133,6.547651310029e-11
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,6.366462912410e-12
138,0.000000000000e+00
139,-1.819060457819e-10
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,5.456968210638e-12
144,0.000000000000e+00
145,2.037197077698e-10
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.818989403546e-11
150,0.000000000000e+00
151,4.292743938095e-10
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,9.094947017729e-13
156,0.000000000000e+00
157,-3.128732828372e-10
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,5.456968210638e-12
162,0.000000000000e+00
163,-9.459455441174e-11
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-3.637978807092e-12
168,0.000000000000e+00
169,-6.984990363890e-10
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-3.092281986028e-11
174,0.000000000000e+00
175,7.057678885758e-10
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-5.456968210638e-12
180,0.000000000000e+00
181,2.037268131971e-10
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,3.637978807092e-12
186,0.000000000000e+00
187,-5.457039264911e-10
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,1.818989403546e-12
192,0.000000000000e+00
193,2.352535943828e-10
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-5.456968210638e-12
