Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-3.253685216388e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-9.281258930309e-05
12,0.000000000000e+00
13,-1.216843049334e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.811760098656e-04
18,0.000000000000e+00
19,-2.646588040146e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.651033133559e-04
24,0.000000000000e+00
25,-4.586876715040e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.446162525547e-04
30,0.000000000000e+00
31,-7.010145440837e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-4.197452813550e-04
36,0.000000000000e+00
37,-9.889048112161e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.905295547619e-04
42,0.000000000000e+00
43,-1.319651053340e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-5.570169288929e-04
48,0.000000000000e+00
49,-1.690578480064e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-6.192639609778e-04
54,0.000000000000e+00
55,-2.099050368365e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-6.773359093586e-04
60,0.000000000000e+00
61,-2.542473500780e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-7.313067334896e-04
66,0.000000000000e+00
67,-3.018303603602e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-7.812590939374e-04
72,0.000000000000e+00
73,-3.524050785076e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-8.272843523808e-04
78,0.000000000000e+00
79,-4.057284973594e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-8.694825716109e-04
84,0.000000000000e+00
85,-4.615641355891e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-9.079625155311e-04
90,0.000000000000e+00
91,-5.196825815237e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-9.428416491569e-04
96,0.000000000000e+00
97,-5.798620369637e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-9.742461386164e-04
102,0.000000000000e+00
103,-6.418888610022e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.002310851150e-03
108,0.000000000000e+00
109,-7.055581138445e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.027179355109e-03
114,0.000000000000e+00
115,-7.706741006278e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.049003919960e-03
120,0.000000000000e+00
121,-8.370509152407e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.067945516278e-03
126,0.000000000000e+00
127,-9.045129841423e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.084173815754e-03
132,0.000000000000e+00
133,-9.728956101824e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.097867191188e-03
138,0.000000000000e+00
139,-1.042045516420e-03
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-1.109212716495e-03
144,0.000000000000e+00
145,-1.111821389945e-03
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.118406166701e-03
150,0.000000000000e+00
151,-1.182094425695e-03
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.125652017944e-03
156,0.000000000000e+00
157,-1.252748870275e-03
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.131163447474e-03
162,0.000000000000e+00
163,-1.323682565779e-03
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.135162333654e-03
168,0.000000000000e+00
169,-1.394807493611e-03
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.137879255961e-03
174,0.000000000000e+00
175,-1.466050318296e-03
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.139553494980e-03
180,0.000000000000e+00
181,-1.537352931312e-03
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.140433032412e-03
186,-0.000000000000e+00
187,-1.608672994898e-03
188,-0.000000000000e+00
189,-0.000000000000e+00
190,-0.000000000000e+00
191,-1.140774551068e-03
192,0.000000000000e+00
193,-1.679984485881e-03
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.140843434874e-03
