ε_xx,ε_yy,ε_zz,γ_xy,γ_yz,γ_xz
0.000000000000e+00,0.000000000000e+00,-1.485001428849e-03,-5.205896346221e-05,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.449408078925e-03,-4.534854643610e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.378325792423e-03,-4.521551614995e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.307521941513e-03,-4.499379900636e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.237135743992e-03,-4.468339500533e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.167306417657e-03,-4.428430414686e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.098173180303e-03,-4.379652643095e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.029875249728e-03,-4.322006185761e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.625518437259e-04,-4.255491042684e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.963421800948e-04,-4.180107213862e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.313854766305e-04,-4.095854699297e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.678209511294e-04,-4.002733498990e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.057878213878e-04,-3.900743612937e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-6.454253052019e-04,-3.789885041140e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.868726203682e-04,-3.670157783600e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.302689846828e-04,-3.541561840317e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.757536159422e-04,-3.404097211289e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.234657319427e-04,-3.257763896522e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.735445504805e-04,-3.102561896004e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.261292893520e-04,-2.938491209747e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.813591663535e-04,-2.765551837742e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.393733992813e-04,-2.583743779996e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.003112059317e-04,-2.393067036506e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.643118041011e-04,-2.193521607272e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.315144115858e-04,-1.985107492297e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.020582461821e-04,-1.767824691574e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.608252568625e-05,-1.541673205109e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.372646789463e-05,-1.306653032902e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.512929060352e-05,-1.062764174956e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.043021160925e-05,-8.100066312595e-07,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.768448708111e-06,-5.483804018159e-07,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.283219696433e-06,-2.778854866359e-07,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.102140887495e-06,-1.404208576158e-07,0.000000000000e+00,0.000000000000e+00
