N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.603313844146e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.510467529289e+02
0.000000000000e+00,-4.009945218612e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.354420979810e+02
0.000000000000e+00,-3.998182015559e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.042785644524e+02
0.000000000000e+00,-3.978576677137e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.732371012362e+02
0.000000000000e+00,-3.951129203346e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.423787434889e+02
0.000000000000e+00,-3.915839594186e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.117645263665e+02
0.000000000000e+00,-3.872707849657e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.814554850254e+02
0.000000000000e+00,-3.821733969759e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.515126546218e+02
0.000000000000e+00,-3.762917954493e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.219970703119e+02
0.000000000000e+00,-3.696259803858e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.929697672520e+02
0.000000000000e+00,-3.621759517853e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.644917805984e+02
0.000000000000e+00,-3.539417096481e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.366241455073e+02
0.000000000000e+00,-3.449232539740e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.094278971349e+02
0.000000000000e+00,-3.351205847628e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.829640706376e+02
0.000000000000e+00,-3.245337020148e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.572937011714e+02
0.000000000000e+00,-3.131626057300e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.324778238928e+02
0.000000000000e+00,-3.010072959082e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.085774739579e+02
0.000000000000e+00,-2.880677725499e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.856536865231e+02
0.000000000000e+00,-2.743440356542e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.637674967444e+02
0.000000000000e+00,-2.598360852219e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.429799397783e+02
0.000000000000e+00,-2.445439212523e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.233520507809e+02
0.000000000000e+00,-2.284675437462e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.049448649086e+02
0.000000000000e+00,-2.116069527030e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.781941731744e+01
0.000000000000e+00,-1.939621481230e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.203674316382e+01
0.000000000000e+00,-1.755331300064e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.765787760395e+01
0.000000000000e+00,-1.563198983525e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.474385579409e+01
0.000000000000e+00,-1.363224531617e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.335571289049e+01
0.000000000000e+00,-1.155407944343e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.355448404938e+01
0.000000000000e+00,-9.397492217050e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.540120442701e+01
0.000000000000e+00,-7.162483636912e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.956909179646e+00
0.000000000000e+00,-4.849053703057e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.282633463522e+00
0.000000000000e+00,-2.457202415578e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.439412434890e+00
0.000000000000e+00,-1.241671433468e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.831949869772e-01
