Row (Local DOF),Column (Local DOF),K_e Value
0,0,5.502000000000e+08
0,6,-5.502000000000e+08
1,1,1.768500000000e+08
1,5,4.421250000000e+07
1,7,-1.768500000000e+08
1,11,4.421250000000e+07
2,2,1.768500000000e+08
2,4,-4.421250000000e+07
2,8,-1.768500000000e+08
2,10,-4.421250000000e+07
3,3,4.222902600000e+03
3,9,-4.222902600000e+03
4,2,-4.421250000000e+07
4,4,1.118895300000e+07
4,8,4.421250000000e+07
4,10,1.091729700000e+07
5,1,4.421250000000e+07
5,5,1.192995480000e+07
5,7,-4.421250000000e+07
5,11,1.017629520000e+07
6,0,-5.502000000000e+08
6,6,5.502000000000e+08
7,1,-1.768500000000e+08
7,5,-4.421250000000e+07
7,7,1.768500000000e+08
7,11,-4.421250000000e+07
8,2,-1.768500000000e+08
8,4,4.421250000000e+07
8,8,1.768500000000e+08
8,10,4.421250000000e+07
9,3,-4.222902600000e+03
9,9,4.222902600000e+03
10,2,-4.421250000000e+07
10,4,1.091729700000e+07
10,8,4.421250000000e+07
10,10,1.118895300000e+07
11,1,4.421250000000e+07
11,5,1.017629520000e+07
11,7,-4.421250000000e+07
11,11,1.192995480000e+07
