Global DOF,Value
0,0.000000000000e+00
1,-5.000000000001e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.666666666668e+02
6,0.000000000000e+00
7,-7.283063041541e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,1.818989403546e-12
12,0.000000000000e+00
13,4.362732397567e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,1.818989403546e-12
18,0.000000000000e+00
19,3.637978807092e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.637090463191e-11
24,0.000000000000e+00
25,2.415845301584e-12
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,1.818989403546e-12
