# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.999593098996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.588548024554e+02
0.000000000000e+00,-4.997151692746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.432348887183e+02
0.000000000000e+00,-4.992268880246e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.276264190730e+02
0.000000000000e+00,-4.984944661496e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.120370229141e+02
0.000000000000e+00,-4.975179036496e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.964743296360e+02
0.000000000000e+00,-4.962972005246e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.809459686332e+02
0.000000000000e+00,-4.948323567746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.654595693004e+02
0.000000000000e+00,-4.931233723996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.500227610321e+02
0.000000000000e+00,-4.911702473995e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.346431732227e+02
0.000000000000e+00,-4.889729817746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.193284352669e+02
0.000000000000e+00,-4.865315755246e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.040861765591e+02
0.000000000000e+00,-4.838460286496e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.889240264939e+02
0.000000000000e+00,-4.809163411496e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.738496144658e+02
0.000000000000e+00,-4.777425130245e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.588705698693e+02
0.000000000000e+00,-4.743245442745e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.439945220990e+02
0.000000000000e+00,-4.706624348997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.292291005494e+02
0.000000000000e+00,-4.667561848996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.145819346151e+02
0.000000000000e+00,-4.626057942746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.000606536905e+02
0.000000000000e+00,-4.582112630246e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.856728871702e+02
0.000000000000e+00,-4.535725911495e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.714262644487e+02
0.000000000000e+00,-4.486897786494e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.573284149206e+02
0.000000000000e+00,-4.435628255246e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.433869679804e+02
0.000000000000e+00,-4.381917317747e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.296095530226e+02
0.000000000000e+00,-4.325764973996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.160037994417e+02
0.000000000000e+00,-4.267171223995e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.025773366324e+02
0.000000000000e+00,-4.206136067745e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.893377939890e+02
0.000000000000e+00,-4.142659505246e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.762928009062e+02
0.000000000000e+00,-4.076741536496e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.634499867785e+02
0.000000000000e+00,-4.008382161501e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.508169810004e+02
0.000000000000e+00,-3.937581380251e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.384014129664e+02
0.000000000000e+00,-3.864339192745e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.262109120711e+02
0.000000000000e+00,-3.788655598997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.142531077090e+02
0.000000000000e+00,-3.710530598993e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.025356292746e+02
0.000000000000e+00,-3.629964192746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.910661061625e+02
0.000000000000e+00,-3.546956380244e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.798521677673e+02
0.000000000000e+00,-3.461507161492e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.689014434833e+02
0.000000000000e+00,-3.373616536490e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.582215627052e+02
