Global DOF,Value
0,0.000000000000e+00
1,-4.999999999999e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.666666666666e+02
6,0.000000000000e+00
7,-3.552713678801e-15
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,4.547473508865e-13
12,0.000000000000e+00
13,-2.911093588409e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.364242052659e-12
18,0.000000000000e+00
19,4.364864025774e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-3.183231456205e-12
24,0.000000000000e+00
25,-2.911093588409e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,2.728484105319e-12
30,0.000000000000e+00
31,3.636557721620e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,9.094947017729e-13
36,0.000000000000e+00
37,7.275957614183e-12
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,3.637978807092e-12
42,0.000000000000e+00
43,-9.461587069381e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-3.637978807092e-12
48,0.000000000000e+00
49,1.696776052995e-11
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-7.275957614183e-12
