Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.973938369731e-07
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.772706607188e-05
12,0.000000000000e+00
13,-6.703227990217e-07
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-3.526850859242e-05
18,0.000000000000e+00
19,-1.415886270913e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-5.262432826972e-05
24,0.000000000000e+00
25,-2.431183488259e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-6.979452687403e-05
30,0.000000000000e+00
31,-3.713313558258e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-8.677910776880e-05
36,0.000000000000e+00
37,-5.259375488745e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.035780764418e-04
42,0.000000000000e+00
43,-7.066468225524e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.201914410362e-04
48,0.000000000000e+00
49,-9.131690698017e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.366192128815e-04
54,0.000000000000e+00
55,-1.145214187319e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.528614070248e-04
60,0.000000000000e+00
61,-1.402492081780e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.689180427618e-04
66,0.000000000000e+00
67,-1.684712676893e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.847891441678e-04
72,0.000000000000e+00
73,-1.991585921279e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-2.004747406290e-04
78,0.000000000000e+00
79,-2.322821797188e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-2.159748673732e-04
84,0.000000000000e+00
85,-2.678130330042e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-2.312895660012e-04
90,0.000000000000e+00
91,-3.057221598806e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-2.464188850177e-04
96,0.000000000000e+00
97,-3.459805747187e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-2.613628803625e-04
102,0.000000000000e+00
103,-3.885592995675e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-2.761216159415e-04
108,0.000000000000e+00
109,-4.334293654395e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-2.906951641577e-04
114,0.000000000000e+00
115,-4.805618136805e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-3.050836064424e-04
120,0.000000000000e+00
121,-5.299276974218e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-3.192870337863e-04
126,0.000000000000e+00
127,-5.814980831148e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-3.333055472704e-04
132,0.000000000000e+00
133,-6.352440521496e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-3.471392585972e-04
138,0.000000000000e+00
139,-6.911367025559e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-3.607882906218e-04
144,0.000000000000e+00
145,-7.491471507872e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-3.742527778829e-04
150,0.000000000000e+00
151,-8.092465335875e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-3.875328671337e-04
156,0.000000000000e+00
157,-8.714060099420e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-4.006287178736e-04
162,0.000000000000e+00
163,-9.355967631094e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-4.135405028784e-04
168,0.000000000000e+00
169,-1.001790002738e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-4.262684087322e-04
174,0.000000000000e+00
175,-1.069956967066e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-4.388126363577e-04
180,0.000000000000e+00
181,-1.140068925201e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-4.511734015479e-04
186,0.000000000000e+00
187,-1.212097179488e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-4.633509354970e-04
192,0.000000000000e+00
193,-1.286013067952e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-4.753454853313e-04
198,0.000000000000e+00
199,-1.361787966837e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-4.871573146403e-04
204,0.000000000000e+00
205,-1.439393293213e-04
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-4.987867040080e-04
210,0.000000000000e+00
211,-1.518800507676e-04
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-5.102339515439e-04
216,0.000000000000e+00
217,-1.599981117125e-04
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-5.214993734139e-04
222,0.000000000000e+00
223,-1.682906677630e-04
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-5.325833043713e-04
228,0.000000000000e+00
229,-1.767548797373e-04
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-5.434860982884e-04
234,0.000000000000e+00
235,-1.853879139679e-04
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-5.542081286870e-04
240,0.000000000000e+00
241,-1.941869426127e-04
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-5.647497892699e-04
246,0.000000000000e+00
