# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-3.333332934952e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.973958335486e+02
0.000000000000e+00,-3.333327371801e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.921875051839e+02
0.000000000000e+00,-3.333307503620e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.869791966875e+02
0.000000000000e+00,-3.333263793583e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.817709378615e+02
0.000000000000e+00,-3.333186704952e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.765627734096e+02
0.000000000000e+00,-3.333066700987e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.713547629362e+02
0.000000000000e+00,-3.332894244876e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.661469809472e+02
0.000000000000e+00,-3.332659799973e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.609395168497e+02
0.000000000000e+00,-3.332353829469e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.557324749517e+02
0.000000000000e+00,-3.331966796617e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.505259744626e+02
0.000000000000e+00,-3.331489164702e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.453201494928e+02
0.000000000000e+00,-3.330911397010e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.401151490539e+02
0.000000000000e+00,-3.330223956794e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.349111370588e+02
0.000000000000e+00,-3.329417307246e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.297082923212e+02
0.000000000000e+00,-3.328481911718e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.245068085564e+02
0.000000000000e+00,-3.327408233401e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.193068943806e+02
0.000000000000e+00,-3.326186735547e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.141087733111e+02
0.000000000000e+00,-3.324807881449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.089126837665e+02
0.000000000000e+00,-3.323262134359e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.037188790667e+02
