element_id,total_strain_energy
0,4.436592048939e-03
1,4.344370148521e-03
2,4.253119265660e-03
3,4.162839846886e-03
4,4.073532570647e-03
5,3.985198333425e-03
6,3.897838235862e-03
7,3.811453568885e-03
8,3.726045799836e-03
9,3.641616558620e-03
10,3.558167623852e-03
11,3.475700909017e-03
12,3.394218448648e-03
13,3.313722384520e-03
14,3.234214951863e-03
15,3.155698465600e-03
16,3.078175306608e-03
17,3.001647908018e-03
18,2.926118741538e-03
19,2.851590303829e-03
20,2.778065102913e-03
21,2.705545644643e-03
22,2.634034419213e-03
23,2.563533887741e-03
24,2.494046468911e-03
25,2.425574525688e-03
26,2.358120352113e-03
27,2.291686160184e-03
28,2.226274066825e-03
29,2.161886080959e-03
30,2.098524090684e-03
31,2.036189850567e-03
32,1.974884969060e-03
33,1.914610896042e-03
34,1.855368910508e-03
35,1.797160108402e-03
36,1.739985390611e-03
37,1.683845451123e-03
38,1.628740765363e-03
39,1.574671578719e-03
40,1.521637895259e-03
41,1.469639466659e-03
42,1.418675781354e-03
43,1.368746053912e-03
44,1.319849214649e-03
45,1.271983899507e-03
46,1.225148440182e-03
47,1.179340854543e-03
48,1.134558837328e-03
49,1.090799751157e-03
50,1.048060617842e-03
51,1.006338110042e-03
52,9.656285432564e-04
53,9.259278681644e-04
54,8.872316633506e-04
55,8.495351284045e-04
56,8.128330774241e-04
57,7.771199329324e-04
58,7.423897202256e-04
59,7.086360621676e-04
60,6.758521744412e-04
61,6.440308612835e-04
62,6.131645117101e-04
63,5.832450962524e-04
64,5.542641642227e-04
65,5.262128415214e-04
66,4.990818290106e-04
67,4.728614014641e-04
68,4.475414071197e-04
69,4.231112678451e-04
70,3.995599799392e-04
71,3.768761155902e-04
72,3.550478250029e-04
73,3.340628392228e-04
74,3.139084736706e-04
75,2.945716324096e-04
76,2.760388131659e-04
77,2.582961131233e-04
78,2.413292355117e-04
79,2.251234970099e-04
80,2.096638359874e-04
81,1.949348216037e-04
82,1.809206637872e-04
83,1.676052241190e-04
84,1.549720276411e-04
85,1.430042756111e-04
86,1.316848592316e-04
87,1.209963743707e-04
88,1.109211373034e-04
89,1.014412014928e-04
90,9.253837543981e-05
91,8.419424162275e-05
92,7.639017655157e-05
93,6.910737196469e-05
94,6.232685719004e-05
95,5.602952269815e-05
96,5.019614487353e-05
97,4.480741202709e-05
98,3.984395168155e-05
99,3.528635915081e-05
100,3.111522744481e-05
101,2.731117852464e-05
102,2.385489593528e-05
103,2.072715884609e-05
104,1.790887752366e-05
105,1.538113026894e-05
106,1.312520184517e-05
107,1.112262342539e-05
108,9.355214090298e-06
109,7.805123904385e-06
110,6.454878601431e-06
111,5.287425907602e-06
112,4.286183534714e-06
113,3.435088872483e-06
114,2.718650411220e-06
115,2.122000926159e-06
116,1.630952455683e-06
117,1.232053102604e-06
118,9.126456939615e-07
119,6.609283287109e-07
120,4.660168472531e-07
121,3.180092555554e-07
122,2.080521361572e-07
123,1.284090808220e-07
124,7.253117693245e-08
125,3.512958256902e-08
126,1.225022437207e-08
127,1.350652206197e-09
