element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,9.404296e+02,0.000000e+00,4.973958e+02,9.404296e+02,-9.404296e+02,1.703122e+03,1.050794e+03
1,0.000000e+00,9.340720e+02,0.000000e+00,4.921875e+02,9.340720e+02,-9.340720e+02,1.691071e+03,1.041862e+03
2,0.000000e+00,9.277130e+02,0.000000e+00,4.869792e+02,9.277130e+02,-9.277130e+02,1.679018e+03,1.032947e+03
3,0.000000e+00,9.213517e+02,0.000000e+00,4.817709e+02,9.213517e+02,-9.213517e+02,1.666964e+03,1.024049e+03
4,0.000000e+00,9.149872e+02,0.000000e+00,4.765628e+02,9.149872e+02,-9.149872e+02,1.654907e+03,1.015167e+03
5,0.000000e+00,9.086185e+02,0.000000e+00,4.713548e+02,9.086185e+02,-9.086185e+02,1.642845e+03,1.006302e+03
6,0.000000e+00,9.022449e+02,0.000000e+00,4.661470e+02,9.022449e+02,-9.022449e+02,1.630776e+03,9.974541e+02
7,0.000000e+00,8.958655e+02,0.000000e+00,4.609395e+02,8.958655e+02,-8.958655e+02,1.618700e+03,9.886233e+02
8,0.000000e+00,8.894795e+02,0.000000e+00,4.557325e+02,8.894795e+02,-8.894795e+02,1.606615e+03,9.798100e+02
9,0.000000e+00,8.830860e+02,0.000000e+00,4.505260e+02,8.830860e+02,-8.830860e+02,1.594521e+03,9.710144e+02
10,0.000000e+00,8.766842e+02,0.000000e+00,4.453201e+02,8.766842e+02,-8.766842e+02,1.582415e+03,9.622370e+02
11,0.000000e+00,8.702735e+02,0.000000e+00,4.401151e+02,8.702735e+02,-8.702735e+02,1.570296e+03,9.534782e+02
12,0.000000e+00,8.638530e+02,0.000000e+00,4.349111e+02,8.638530e+02,-8.638530e+02,1.558164e+03,9.447384e+02
13,0.000000e+00,8.574220e+02,0.000000e+00,4.297083e+02,8.574220e+02,-8.574220e+02,1.546016e+03,9.360182e+02
14,0.000000e+00,8.509798e+02,0.000000e+00,4.245068e+02,8.509798e+02,-8.509798e+02,1.533853e+03,9.273182e+02
15,0.000000e+00,8.445257e+02,0.000000e+00,4.193069e+02,8.445257e+02,-8.445257e+02,1.521673e+03,9.186389e+02
16,0.000000e+00,8.380590e+02,0.000000e+00,4.141088e+02,8.380590e+02,-8.380590e+02,1.509475e+03,9.099812e+02
17,0.000000e+00,8.315790e+02,0.000000e+00,4.089127e+02,8.315790e+02,-8.315790e+02,1.497258e+03,9.013457e+02
18,0.000000e+00,8.250851e+02,0.000000e+00,4.037189e+02,8.250851e+02,-8.250851e+02,1.485020e+03,8.927333e+02
19,0.000000e+00,8.185767e+02,0.000000e+00,3.985276e+02,8.185767e+02,-8.185767e+02,1.472762e+03,8.841449e+02
20,0.000000e+00,8.120532e+02,0.000000e+00,3.933392e+02,8.120532e+02,-8.120532e+02,1.460482e+03,8.755814e+02
21,0.000000e+00,8.055139e+02,0.000000e+00,3.881539e+02,8.055139e+02,-8.055139e+02,1.448179e+03,8.670439e+02
22,0.000000e+00,7.989584e+02,0.000000e+00,3.829721e+02,7.989584e+02,-7.989584e+02,1.435852e+03,8.585334e+02
23,0.000000e+00,7.923860e+02,0.000000e+00,3.777940e+02,7.923860e+02,-7.923860e+02,1.423501e+03,8.500513e+02
24,0.000000e+00,7.857962e+02,0.000000e+00,3.726201e+02,7.857962e+02,-7.857962e+02,1.411125e+03,8.415988e+02
25,0.000000e+00,7.791885e+02,0.000000e+00,3.674506e+02,7.791885e+02,-7.791885e+02,1.398722e+03,8.331771e+02
26,0.000000e+00,7.725624e+02,0.000000e+00,3.622860e+02,7.725624e+02,-7.725624e+02,1.386293e+03,8.247879e+02
