2026-02-26 16:19:33,773 [DEBUG] 📁 Log file created at: c:\Users\s1834431\Programs\fem_model\post_processing\results\job_0011_n16_2026-02-26_16-19-30-579225_pid18316_8b7cafa3\logs\ModifyGlobalSystem.log (Module: modification, Line: 134)
2026-02-26 16:19:33,773 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 152)
2026-02-26 16:19:33,773 [DEBUG] Computed penalty value: 1.00e+36 (Module: modification, Line: 210)
2026-02-26 16:19:33,773 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 325)
2026-02-26 16:19:33,773 [DEBUG] Original Non-zeros: 490
Modified Non-zeros: 466
Penalty Value: 1.00e+36
Stabilization Factor: 1.00e+26 (Module: modification, Line: 337)
2026-02-26 16:19:33,781 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
  94   88  2.219969e+06
  74   82 -4.421250e+07
  34   26 -4.421250e+07
  25   23 -4.421250e+07
  82   86  4.421250e+07
  10   16  2.219969e+06
  55   53 -4.421250e+07
  62   64  0.000000e+00
  57   63 -1.689161e+04
  53   47 -7.440380e+05
 101   91  4.421250e+07
  73   73  1.414800e+09
  92  100 -4.421250e+07
  27   27  3.378322e+04
  82   88  2.219969e+06
  92   94  0.000000e+00
  48   42 -2.200800e+09
  26   34 -4.421250e+07
   8    8  1.414800e+09
  30   36 -2.200800e+09
  31   41  4.421250e+07
  52   58  2.219969e+06
  70   74  4.421250e+07
  41   35 -7.440380e+05
 101  101  6.270600e+06
  66   66  4.401600e+09
  76   76  6.613186e+06
  44   40  4.421250e+07
   7   13 -7.074000e+08
   8   16 -4.421250e+07
  52   44 -4.421250e+07
  53   43  4.421250e+07
  41   31  4.421250e+07
  70   68  0.000000e+00
   1    1  1.000000e+36
  52   46  2.219969e+06
  26   22  4.421250e+07
  43   37 -7.074000e+08
  85   91 -7.074000e+08
  68   64  4.421250e+07
  63   69 -1.689161e+04
  61   65  0.000000e+00
  40   32 -4.421250e+07
  46   50  4.421250e+07
  55   55  1.414800e+09
  76   68 -4.421250e+07
  58   52  2.219969e+06
  51   45 -1.689161e+04
  17   19 -4.421250e+07
  14   14  1.414800e+09
  90   84 -2.200800e+09
  57   57  3.378322e+04
  76   74  0.000000e+00
  80   74 -7.074000e+08
  56   52  4.421250e+07
  22   26  4.421250e+07
  22   20  0.000000e+00
  47   37  4.421250e+07
  68   74 -7.074000e+08
  67   73 -7.074000e+08
  76   80  4.421250e+07
  38   32 -7.074000e+08
  95   91  0.000000e+00
  18   12 -2.200800e+09
  70   64  2.219969e+06
  19   17 -4.421250e+07
   6    6  4.401600e+09
  21   15 -1.689161e+04
  31   35  0.000000e+00
  85   83 -4.421250e+07
  22   16  2.219969e+06
  29   29  1.254120e+07
  28   28  6.613186e+06
  94   92  0.000000e+00
  82   82  6.613186e+06
  33   33  3.378322e+04
  50   58 -4.421250e+07
  37   47  4.421250e+07
  41   47 -7.440380e+05
  35   29 -7.440380e+05
  91   89 -4.421250e+07
  69   69  3.378322e+04
  77   71 -7.440380e+05
  19   13 -7.074000e+08
  80   76  4.421250e+07
  91  101  4.421250e+07
  97  101 -4.421250e+07
  20   14 -7.074000e+08
  62   58  4.421250e+07
  63   63  3.378322e+04
  76   70  2.219969e+06
  17   23 -7.440380e+05
  38   46 -4.421250e+07
  34   28  2.219969e+06
  82   76  2.219969e+06
  89   83 -7.440380e+05
  92   88  4.421250e+07
  47   53 -7.440380e+05
  86   80 -7.074000e+08
  35   37 -4.421250e+07
  35   31  0.000000e+00
  16   22  2.219969e+06
  17   13  0.000000e+00
  22   14 -4.421250e+07
  12    6 -2.200800e+09
  16   10  2.219969e+06
  91   95  0.000000e+00
  71   61  4.421250e+07
   4    4  1.000000e+36
  60   66 -2.200800e+09
  92   92  1.414800e+09
  46   44  0.000000e+00
  63   57 -1.689161e+04
   7    7  1.414800e+09
  98  100  4.421250e+07
   5    5  1.000000e+36
  81   81  3.378322e+04
  56   50 -7.074000e+08
  75   81 -1.689161e+04
   6   12 -2.200800e+09
  38   44 -7.074000e+08
  83   89 -7.440380e+05
  11    7  0.000000e+00
  20   22  0.000000e+00
  80   80  1.414800e+09
  10   14  4.421250e+07
  37   43 -7.074000e+08
  66   72 -2.200800e+09
   8   14 -7.074000e+08
  67   67  1.414800e+09
  44   46  0.000000e+00
  19   29  4.421250e+07
  79   83  0.000000e+00
  46   38 -4.421250e+07
  23   17 -7.440380e+05
  81   87 -1.689161e+04
  64   56 -4.421250e+07
  67   61 -7.074000e+08
  94   98  4.421250e+07
  95  101 -7.440380e+05
  75   75  3.378322e+04
  38   38  1.414800e+09
  79   85 -7.074000e+08
  50   56 -7.074000e+08
  98   98  7.074000e+08
  45   39 -1.689161e+04
  67   71  0.000000e+00
  68   76 -4.421250e+07
  28   26  0.000000e+00
  65   71 -7.440380e+05
  19   25 -7.074000e+08
  71   67  0.000000e+00
  86   92 -7.074000e+08
  89   79  4.421250e+07
  53   53  1.254120e+07
  25   19 -7.074000e+08
  65   65  1.254120e+07
  25   31 -7.074000e+08
  56   62 -7.074000e+08
  64   70  2.219969e+06
  59   53 -7.440380e+05
  25   29  0.000000e+00
  10    8  0.000000e+00
  35   41 -7.440380e+05
  38   40  0.000000e+00
  37   35 -4.421250e+07
  58   50 -4.421250e+07
  64   64  6.613186e+06
  61   61  1.414800e+09
  94  100  2.219969e+06
  56   64 -4.421250e+07
  20   16  4.421250e+07
  88   94  2.219969e+06
  91   91  1.414800e+09
  35   25  4.421250e+07
  27   21 -1.689161e+04
  79   89  4.421250e+07
  77   83 -7.440380e+05
  83   79  0.000000e+00
   9   15 -1.689161e+04
  36   30 -2.200800e+09
  49   47 -4.421250e+07
  54   60 -2.200800e+09
  13   11 -4.421250e+07
  29   31 -4.421250e+07
 100   94  2.219969e+06
  27   33 -1.689161e+04
  67   65 -4.421250e+07
  85   89  0.000000e+00
  42   36 -2.200800e+09
  48   54 -2.200800e+09
  30   24 -2.200800e+09
  40   44  4.421250e+07
  84   84  4.401600e+09
  31   29 -4.421250e+07
  54   48 -2.200800e+09
  29   25  0.000000e+00
  87   87  3.378322e+04
  59   61 -4.421250e+07
  34   32  0.000000e+00
  44   52 -4.421250e+07
  71   77 -7.440380e+05
  55   49 -7.074000e+08
  32   28  4.421250e+07
  59   59  1.254120e+07
  49   55 -7.074000e+08
  83   77 -7.440380e+05
  77   67  4.421250e+07
  73   77  0.000000e+00
  33   39 -1.689161e+04
  13   19 -7.074000e+08
  95   95  1.254120e+07
  39   39  3.378322e+04
  13   23  4.421250e+07
  16    8 -4.421250e+07
  26   26  1.414800e+09
  23   29 -7.440380e+05
  19   19  1.414800e+09
  40   40  6.613186e+06
  46   52  2.219969e+06
  41   41  1.254120e+07
  56   56  1.414800e+09
  85   85  1.414800e+09
  99   99  1.689161e+04
  86   86  1.414800e+09
  69   63 -1.689161e+04
  28   32  4.421250e+07
  78   78  4.401600e+09
  50   52  0.000000e+00
  16   14  0.000000e+00
  97   95 -4.421250e+07
  87   93 -1.689161e+04
  97   91 -7.074000e+08
  21   27 -1.689161e+04
  34   34  6.613186e+06
  96   90 -2.200800e+09
  14    8 -7.074000e+08
  68   70  0.000000e+00
  13    7 -7.074000e+08
  43   43  1.414800e+09
  74   80 -7.074000e+08
  70   76  2.219969e+06
  17   11 -7.440380e+05
  84   78 -2.200800e+09
  89   91 -4.421250e+07
  50   50  1.414800e+09
  99   93 -1.689161e+04
  12   12  4.401600e+09
   2    2  1.000000e+36
  53   49  0.000000e+00
  80   86 -7.074000e+08
  38   34  4.421250e+07
  69   75 -1.689161e+04
  95   89 -7.440380e+05
  53   59 -7.440380e+05
 100  100  3.306593e+06
  34   38  4.421250e+07
  49   53  0.000000e+00
  28   20 -4.421250e+07
  72   78 -2.200800e+09
  83   73  4.421250e+07
  73   67 -7.074000e+08
  50   44 -7.074000e+08
  79   77 -4.421250e+07
  44   50 -7.074000e+08
  49   59  4.421250e+07
