Global DOF,Value
0,0.000000000000e+00
1,-3.333333333336e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.000000000004e+02
6,0.000000000000e+00
7,-2.425393219596e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-3.694822225953e-13
12,0.000000000000e+00
13,-2.425393219596e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.023181539495e-12
18,0.000000000000e+00
19,2.304023638544e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.136868377216e-13
24,0.000000000000e+00
25,-3.880540333512e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-5.684341886081e-14
30,0.000000000000e+00
31,8.852296673467e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,1.875832822407e-12
36,0.000000000000e+00
37,-1.006519312341e-10
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.092726157978e-12
42,0.000000000000e+00
43,9.216094554176e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-3.410605131648e-12
48,0.000000000000e+00
49,1.939959304309e-11
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.932676241267e-12
54,0.000000000000e+00
55,-6.063061164241e-11
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-7.389644451905e-12
60,0.000000000000e+00
61,1.285371808990e-10
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.489297574153e-11
66,0.000000000000e+00
67,1.285371808990e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,4.433786671143e-12
72,0.000000000000e+00
73,-1.916049541251e-10
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-7.958078640513e-13
78,0.000000000000e+00
79,1.358131385132e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.307398633799e-11
84,0.000000000000e+00
85,-1.479492084400e-10
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.512034941697e-11
90,0.000000000000e+00
91,2.522142494854e-10
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.466560206609e-11
96,0.000000000000e+00
97,-5.821121362715e-11
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,1.364242052659e-11
