# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-3.333129882816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.791679382328e+02
0.000000000000e+00,-3.330281575524e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.375216166182e+02
0.000000000000e+00,-3.320109049482e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.959566752119e+02
0.000000000000e+00,-3.297729492190e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.545951843264e+02
0.000000000000e+00,-3.258260091149e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.136202494306e+02
0.000000000000e+00,-3.196818033857e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.732760111493e+02
0.000000000000e+00,-3.108520507816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.338676452638e+02
0.000000000000e+00,-2.988484700524e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.957613627117e+02
0.000000000000e+00,-2.831827799481e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.593844095867e+02
0.000000000000e+00,-2.633666992191e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.252250671387e+02
0.000000000000e+00,-2.389119466147e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.383265177413e+01
0.000000000000e+00,-2.093302408855e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.581751505536e+01
0.000000000000e+00,-1.741333007814e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.185104370119e+01
0.000000000000e+00,-1.328328450523e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.266565958660e+01
0.000000000000e+00,-8.494059244818e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.054819742842e+00
0.000000000000e+00,-2.996826171876e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.873016357432e+00
