# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-3.333129882816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.791679382328e+02
0.000000000000e+00,-7.067835458874e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.583447774255e+02
0.000000000000e+00,-7.054024349037e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.167391459150e+02
0.000000000000e+00,-7.019496574445e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.752759297692e+02
0.000000000000e+00,-6.953893802721e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.341077168785e+02
0.000000000000e+00,-6.846857701486e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.934481302899e+02
0.000000000000e+00,-6.688029938372e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.535718282065e+02
0.000000000000e+00,-6.467052180985e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.148145039878e+02
0.000000000000e+00,-6.173566096959e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.775728861492e+02
0.000000000000e+00,-5.797213353911e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.423047383627e+02
0.000000000000e+00,-5.327635619478e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.095288594564e+02
0.000000000000e+00,-4.754474561235e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.982508341475e+01
0.000000000000e+00,-4.067371846879e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.383427937827e+01
0.000000000000e+00,-3.255969143989e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.225835164389e+01
0.000000000000e+00,-2.309908120183e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.586023966472e+01
0.000000000000e+00,-1.218830443102e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.463918050137e+00
0.000000000000e+00,-2.996826171877e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.873016357432e+00
