Row (Local DOF),Column (Local DOF),K_e Value
0,0,4.401600000000e+09
0,6,-4.401600000000e+09
1,1,1.414800000000e+09
1,5,4.421250000000e+07
1,7,-1.414800000000e+09
1,11,4.421250000000e+07
2,2,1.414800000000e+09
2,4,-4.421250000000e+07
2,8,-1.414800000000e+09
2,10,-4.421250000000e+07
3,3,3.378322080000e+04
3,9,-3.378322080000e+04
4,2,-4.421250000000e+07
4,4,2.468264625000e+06
4,8,4.421250000000e+07
4,10,2.950166250000e+05
5,1,4.421250000000e+07
5,5,8.396279025000e+06
5,7,-4.421250000000e+07
5,11,-5.632997775000e+06
6,0,-4.401600000000e+09
6,6,4.401600000000e+09
7,1,-1.414800000000e+09
7,5,-4.421250000000e+07
7,7,1.414800000000e+09
7,11,-4.421250000000e+07
8,2,-1.414800000000e+09
8,4,4.421250000000e+07
8,8,1.414800000000e+09
8,10,4.421250000000e+07
9,3,-3.378322080000e+04
9,9,3.378322080000e+04
10,2,-4.421250000000e+07
10,4,2.950166250000e+05
10,8,4.421250000000e+07
10,10,2.468264625000e+06
11,1,4.421250000000e+07
11,5,-5.632997775000e+06
11,7,-4.421250000000e+07
11,11,8.396279025000e+06
