Condensed DOF,Value
0,0.000000000000e+00
1,-2.416681925469e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.979453317969e-05
6,0.000000000000e+00
7,-9.102690810041e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.366192679800e-04
12,0.000000000000e+00
13,-1.987237220342e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.004749294936e-04
18,0.000000000000e+00
19,-3.454010782184e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.613633304521e-04
24,0.000000000000e+00
25,-5.292040051986e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.192879150458e-04
30,0.000000000000e+00
31,-7.482799325089e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-3.742543027428e-04
36,0.000000000000e+00
37,-1.000780220164e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.262708321091e-04
42,0.000000000000e+00
43,-1.284862028039e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-4.753491046276e-04
48,0.000000000000e+00
49,-1.598690525137e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.215045285179e-04
54,0.000000000000e+00
55,-1.940441438742e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-5.647568625557e-04
60,0.000000000000e+00
61,-2.308303943458e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-6.051307598923e-04
66,0.000000000000e+00
67,-2.700483890144e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-6.426563118743e-04
72,0.000000000000e+00
73,-3.115207374722e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-6.773695918629e-04
78,0.000000000000e+00
79,-3.550724646884e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-7.093131990535e-04
84,0.000000000000e+00
85,-4.005314358682e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-7.385368022953e-04
90,0.000000000000e+00
91,-4.477288153004e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-7.650976839106e-04
96,0.000000000000e+00
97,-4.964995591937e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-7.890612835146e-04
102,0.000000000000e+00
103,-5.466829425023e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-8.105017418345e-04
108,0.000000000000e+00
109,-5.981231197391e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-8.295024445298e-04
114,0.000000000000e+00
115,-6.506697197792e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-8.461565660107e-04
120,0.000000000000e+00
121,-7.041784746502e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-8.605676132586e-04
126,0.000000000000e+00
127,-7.585118823132e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-8.728499696453e-04
132,0.000000000000e+00
133,-8.135399034307e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-8.831294387520e-04
138,0.000000000000e+00
139,-8.691406921249e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-8.915437881898e-04
144,0.000000000000e+00
145,-9.252013607230e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-8.982432934184e-04
150,0.000000000000e+00
151,-9.816187784929e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-9.033912815659e-04
156,0.000000000000e+00
157,-1.038300404367e-03
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-9.071646752485e-04
162,0.000000000000e+00
163,-1.095165153652e-03
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-9.097545363896e-04
168,0.000000000000e+00
169,-1.152144298735e-03
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-9.113666100397e-04
174,0.000000000000e+00
175,-1.209182403769e-03
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-9.122218681958e-04
180,-0.000000000000e+00
181,-1.266238293352e-03
182,-0.000000000000e+00
183,-0.000000000000e+00
184,-0.000000000000e+00
185,-9.125570536208e-04
186,0.000000000000e+00
187,-1.323286055196e-03
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-9.126252236631e-04
