# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-3.333307899465e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.895834125523e+02
0.000000000000e+00,-3.332951861184e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687513508003e+02
0.000000000000e+00,-3.331680295470e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.479243753107e+02
0.000000000000e+00,-3.328882850920e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.271101154783e+02
0.000000000000e+00,-3.323949175836e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.063200153946e+02
0.000000000000e+00,-3.316268918784e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.855693338490e+02
0.000000000000e+00,-3.305231728075e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.648771443275e+02
0.000000000000e+00,-3.290227252273e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.442663350139e+02
0.000000000000e+00,-3.270645139690e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.237636087890e+02
0.000000000000e+00,-3.245875038888e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.033994832310e+02
0.000000000000e+00,-3.215306598180e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.832082906152e+02
0.000000000000e+00,-3.178329466128e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.632281779142e+02
0.000000000000e+00,-3.134333291045e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.435011067980e+02
0.000000000000e+00,-3.082707721494e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.240728536338e+02
0.000000000000e+00,-3.022842405785e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.049930094861e+02
0.000000000000e+00,-2.954126992484e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.863149801165e+02
0.000000000000e+00,-2.875951129899e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.680959859841e+02
0.000000000000e+00,-2.787704466598e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.503970622450e+02
0.000000000000e+00,-2.688776650889e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.332830587529e+02
0.000000000000e+00,-2.578557331340e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.168226400584e+02
0.000000000000e+00,-2.456436156254e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.010882854097e+02
0.000000000000e+00,-2.321802774205e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.615628875201e+01
0.000000000000e+00,-2.174046833495e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.210675872796e+01
0.000000000000e+00,-2.012557982692e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.902361867739e+01
0.000000000000e+00,-1.836725870105e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.699460663740e+01
0.000000000000e+00,-1.645940144304e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.611127534237e+01
0.000000000000e+00,-1.439590453596e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.646899222394e+01
0.000000000000e+00,-1.217066446546e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.816693941100e+01
0.000000000000e+00,-9.777577714634e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.130811372974e+01
0.000000000000e+00,-7.210540769112e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.999326703576e+00
0.000000000000e+00,-4.463450111998e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.351204553234e+00
0.000000000000e+00,-1.530202229185e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.781881966206e-01
