Global DOF,Value
0,0.000000000000e+00
1,-3.333333333333e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.000000000000e+02
6,0.000000000000e+00
7,-9.702461056804e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-9.094947017729e-13
12,0.000000000000e+00
13,1.941202754097e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,3.637978807092e-12
18,0.000000000000e+00
19,-6.792788553867e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.273292582482e-11
24,0.000000000000e+00
25,5.819345005875e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.818989403546e-11
