Condensed DOF,Value
0,0.000000000000e+00
1,-6.688726173214e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-3.526850874109e-05
6,0.000000000000e+00
7,-2.428283165467e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-6.979452823368e-05
12,0.000000000000e+00
13,-5.255025165049e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.035780811369e-04
18,0.000000000000e+00
19,-9.125890679569e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.366192240986e-04
24,0.000000000000e+00
25,-1.401767164311e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.689180647498e-04
30,0.000000000000e+00
31,-1.990716171908e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-2.004747786988e-04
36,0.000000000000e+00
37,-2.677115869007e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-2.312896265259e-04
42,0.000000000000e+00
43,-3.458646737874e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-2.613629707772e-04
48,0.000000000000e+00
49,-4.332990309977e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.906952929598e-04
54,0.000000000000e+00
55,-5.297829564300e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-3.192872105353e-04
60,0.000000000000e+00
61,-6.350849378744e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.471394939148e-04
66,0.000000000000e+00
67,-7.489737034657e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-3.742530834526e-04
72,0.000000000000e+00
73,-8.712182774457e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-4.006291064416e-04
78,0.000000000000e+00
79,-1.001588041237e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-4.262688941064e-04
84,0.000000000000e+00
85,-1.139852799826e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-4.511739985986e-04
90,0.000000000000e+00
91,-1.285782853459e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-4.753462099908e-04
96,0.000000000000e+00
97,-1.439149074650e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-4.987875732709e-04
102,0.000000000000e+00
103,-1.599722990492e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-5.215004053368e-04
