element_id,total_strain_energy
0,8.888130717336e-03
1,8.518653219782e-03
2,8.157046441423e-03
3,7.803324777985e-03
4,7.457509013731e-03
5,7.119625423190e-03
6,6.789704874014e-03
7,6.467781931552e-03
8,6.153893965855e-03
9,5.848080261966e-03
10,5.550381134510e-03
11,5.260837047755e-03
12,4.979487742418e-03
13,4.706371370658e-03
14,4.441523640862e-03
15,4.184976973937e-03
16,3.936759672998e-03
17,3.696895108439e-03
18,3.465400920575e-03
19,3.242288242164e-03
20,3.027560943238e-03
21,2.821214900844e-03
22,2.623237296458e-03
23,2.433605943921e-03
24,2.252288650952e-03
25,2.079242617382e-03
26,1.914413873443e-03
27,1.757736761572e-03
28,1.609133465322e-03
29,1.468513589124e-03
30,1.335773792825e-03
31,1.210797484989e-03
32,1.093454579189e-03
33,9.836013175804e-04
34,8.810801662255e-04
35,7.857197868113e-04
36,6.973350894832e-04
37,6.157273717093e-04
38,5.406845482272e-04
39,4.719814772499e-04
40,4.093803882754e-04
41,3.526314169664e-04
42,3.014732527240e-04
43,2.556339047301e-04
44,2.148315923582e-04
45,1.787757660058e-04
46,1.471682645577e-04
47,1.197046158094e-04
48,9.607548634774e-05
49,7.596828751059e-05
50,5.906894420186e-05
51,4.506383348654e-05
52,3.364190002201e-05
53,2.449695553343e-05
54,1.733016968903e-05
55,1.185275986434e-05
56,7.788887440874e-06
57,4.878768417781e-06
58,2.882006265179e-06
59,1.581155093771e-06
60,7.855213542117e-07
61,3.352124260257e-07
62,1.054406022835e-07
63,1.109111679501e-08
