# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-3.333330152573e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.947916714520e+02
0.000000000000e+00,-3.169171370721e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.895833778579e+02
0.000000000000e+00,-3.169074654620e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.791669496153e+02
0.000000000000e+00,-3.168832864202e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687510776826e+02
0.000000000000e+00,-3.168373462356e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.583363581064e+02
0.000000000000e+00,-3.167623911991e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.479236253517e+02
0.000000000000e+00,-3.166511676018e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.375139523022e+02
0.000000000000e+00,-3.164964217324e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.271086502598e+02
0.000000000000e+00,-3.162908998702e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.167092689453e+02
0.000000000000e+00,-3.160273483043e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.063175964980e+02
0.000000000000e+00,-3.156985133238e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.959356594758e+02
0.000000000000e+00,-3.152971412080e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.855657228553e+02
0.000000000000e+00,-3.148159782456e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.752102900317e+02
0.000000000000e+00,-3.142477707277e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.648721028187e+02
0.000000000000e+00,-3.135852649452e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.545541414485e+02
0.000000000000e+00,-3.128212071869e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.442596245719e+02
0.000000000000e+00,-3.119483437321e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.339920092580e+02
0.000000000000e+00,-3.109594208700e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.237549909949e+02
0.000000000000e+00,-3.098471848896e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.135525036892e+02
0.000000000000e+00,-3.086043820700e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.033887196660e+02
0.000000000000e+00,-3.072237587003e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.932680496692e+02
0.000000000000e+00,-3.056980610713e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.831951428612e+02
0.000000000000e+00,-3.040200354740e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.731748868227e+02
0.000000000000e+00,-3.021824281972e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.632124075531e+02
