job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_z_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000042e-02,-4.546682443074000256e-04,-4.546682453843000423e-04,1.076900016643705937e-12,-2.600700864886293286e-03,-2.600700871047809028e-03,6.161515742064693768e-12
0.000000000000000000e+00,4.000000000000000083e-02,-1.812590458909000201e-03,-1.812590463204299561e-03,4.295299359247106707e-12,-5.175264032629842137e-03,-5.175264044899157909e-03,1.226931577169576570e-11
0.000000000000000000e+00,5.999999999999999778e-02,-4.064642866323999772e-03,-4.064642875960648889e-03,9.636649117572559931e-12,-7.723689503230646985e-03,-7.723689521554046207e-03,1.832339922153147782e-11
0.000000000000000000e+00,8.000000000000000167e-02,-7.201701689073000505e-03,-7.201701706153995977e-03,1.708099547220731651e-11,-1.024597727668641670e-02,-1.024597730101247522e-02,2.432605852864533347e-11
0.000000000000000000e+00,1.000000000000000056e-01,-1.121464314967000019e-02,-1.121464317628499338e-02,2.661499319545068687e-11,-1.274212735300115848e-02,-1.274212738327444062e-02,3.027328214499913628e-11
0.000000000000000000e+00,1.199999999999999956e-01,-1.609434347064999868e-02,-1.609434350885428563e-02,3.820428695622268833e-11,-1.521213973217487928e-02,-1.521213976833994848e-02,3.616506920323114826e-11
0.000000000000000000e+00,1.400000000000000133e-01,-2.183167887450999933e-02,-2.183167892636252508e-02,5.185252574535503811e-11,-1.765601441420184062e-02,-1.765601445620899532e-02,4.200715469915294875e-11
0.000000000000000000e+00,1.600000000000000033e-01,-2.841752558377999907e-02,-2.841752565131036232e-02,6.753036324580463656e-11,-2.007375139908778097e-02,-2.007375144688158114e-02,4.779380016750600646e-11
0.000000000000000000e+00,1.799999999999999933e-01,-3.584275982099000002e-02,-3.584275990619844449e-02,8.520844446691100416e-11,-2.246535068683269340e-02,-2.246535074035771115e-02,5.352501775135465323e-11
