job_id,load_type,QoI,n_fine,n_med,n_coarse,phi_fine,phi_med,phi_coarse,p_obs,phi_ext,Roark,error_ext_Roark_pct,error_phi1_Roark_pct,GCI_12_pct,GCI_23_pct,fine_vs_rich_pct,GCI_23_12_ratio,r_p
0,End,tip_deflection_mm,100,50,25,-3.041259159195e+00,-3.041259166845e+00,-3.041259166394e+00,nan,-3.041259159195e+00,-3.041259166450e+00,-0.000000,-0.000000,nan,nan,0.000000,nan,nan
0,End,tip_rotation_deg,100,50,25,-1.306884856845e-01,-1.306884859993e-01,-1.306884859802e-01,nan,-1.306884856845e-01,-1.306884859823e-01,-0.000000,-0.000000,nan,nan,0.000000,nan,nan
1,Mid-span,tip_deflection_mm,100,50,25,-9.503934872003e-01,-9.503934895999e-01,-9.513058672462e-01,18.536478,-9.503934872003e-01,-9.503934895157e-01,-0.000000,-0.000000,0.000000,0.000000,0.000000,380220.710029,380220.710989
1,Mid-span,tip_rotation_deg,100,50,25,-3.267212140001e-02,-3.267212143910e-02,-3.272439688923e-02,20.350584,-3.267212140001e-02,-3.267212149558e-02,-0.000000,-0.000000,0.000000,0.000000,0.000000,1337014.503319,1337014.504919
2,Quarter-span,tip_deflection_mm,100,50,25,-2.613582089878e-01,-2.617003512410e-01,-2.546385474831e-01,nan,-2.613582089878e-01,-2.613582096168e-01,-0.000000,-0.000000,nan,nan,0.000000,nan,nan
2,Quarter-span,tip_rotation_deg,100,50,25,-8.168030347770e-03,-8.181099162599e-03,-7.952394371819e-03,nan,-8.168030347770e-03,-8.168030373894e-03,-0.000000,-0.000000,nan,nan,0.000000,nan,nan
5,UDL,tip_deflection_mm,100,50,25,-2.281020400801e+00,-2.281248501288e+00,-2.282160878460e+00,1.999961,-2.280944364552e+00,-2.280944374838e+00,-0.000000,0.003333,0.004167,0.016665,0.003334,3.999491,3.999891
5,UDL,tip_rotation_deg,100,50,25,-8.713001337744e-02,-8.714308250991e-02,-8.719535784569e-02,1.999967,-8.712565686727e-02,-8.712570097162e-02,-0.000051,0.004950,0.006250,0.024996,0.005000,3.999309,3.999909
6,Triangular,tip_deflection_mm,100,50,25,-1.672728019878e+00,-1.672834483484e+00,-1.673260502747e+00,2.000558,-1.672692550315e+00,-1.672692287602e+00,0.000016,0.002136,0.002651,0.010606,0.002121,4.001294,4.001548
6,Triangular,tip_rotation_deg,100,50,25,-6.534685659475e-02,-6.535469804603e-02,-6.538606330542e-02,1.999975,-6.534424271702e-02,-6.534426481619e-02,-0.000034,0.003966,0.005000,0.019997,0.004000,3.999450,3.999930
7,Parabolic,tip_deflection_mm,100,50,25,-1.317904313283e+00,-1.317980355845e+00,-1.318284603086e+00,2.000365,-1.317878974314e+00,-1.317878718183e+00,0.000019,0.001942,0.002403,0.009615,0.001923,4.000782,4.001012
7,Parabolic,tip_rotation_deg,100,50,25,-5.227742716521e-02,-5.228352565628e-02,-5.230791386931e-02,1.999660,-5.227539369563e-02,-5.227540894295e-02,-0.000029,0.003861,0.004862,0.019442,0.003890,3.998590,3.999057
