job_id,load_type,QoI,n_fine,n_med,n_coarse,phi_fine,phi_med,phi_coarse,p_obs,phi_ext,Roark,error_ext_Roark_pct,error_phi1_Roark_pct,GCI_12_pct,GCI_23_pct,fine_vs_rich_pct,GCI_23_12_ratio,r_p
0,End,tip_deflection_mm,128,64,32,-3.041259168722e+00,-3.041259166687e+00,-3.041259166517e+00,-3.581422,-3.041259168722e+00,-3.041259166450e+00,0.000000,0.000000,nan,nan,0.000000,nan,0.083538
0,End,tip_rotation_deg,128,64,32,-1.306884861112e-01,-1.306884859926e-01,-1.306884859851e-01,-3.970320,-1.306884861112e-01,-1.306884859823e-01,0.000000,0.000000,nan,nan,0.000000,nan,0.063799
1,Mid-span,tip_deflection_mm,128,64,32,-9.503934899376e-01,-9.503934895931e-01,-9.503934895367e-01,-2.610737,-9.503934899376e-01,-9.503934895157e-01,0.000000,0.000000,nan,nan,0.000000,nan,0.163715
1,Mid-span,tip_rotation_deg,128,64,32,-3.267212152563e-02,-3.267212149895e-02,-3.267212149645e-02,-3.416693,-3.267212152563e-02,-3.267212149558e-02,0.000000,0.000000,nan,nan,0.000000,nan,0.093642
2,Quarter-span,tip_deflection_mm,128,64,32,-2.613582096976e-01,-2.613582093720e-01,-2.613582096226e-01,nan,-2.613582096976e-01,-2.613582096168e-01,0.000000,0.000000,nan,nan,0.000000,nan,nan
2,Quarter-span,tip_rotation_deg,128,64,32,-8.168030380887e-03,-8.168030256990e-03,-8.168030374137e-03,nan,-8.168030380887e-03,-8.168030373894e-03,0.000000,0.000000,nan,nan,0.000000,nan,nan
3,UDL,tip_deflection_mm,128,64,32,-2.280990782136e+00,-2.281129998748e+00,-2.281686869802e+00,2.000012,-2.280944377110e+00,-2.280944374838e+00,0.000000,0.002035,0.002543,0.010172,0.002034,3.999789,4.000033
3,UDL,tip_rotation_deg,128,64,32,-8.712831627032e-02,-8.713629278569e-02,-8.716819914847e-02,2.000014,-8.712565746534e-02,-8.712570097162e-02,-0.000050,0.003002,0.003814,0.015257,0.003052,3.999672,4.000038
4,Triangular,tip_deflection_mm,128,64,32,-1.672714199085e+00,-1.672779172131e+00,-1.673039135890e+00,2.000397,-1.672692549353e+00,-1.672692287602e+00,0.000016,0.001310,0.001618,0.006473,0.001294,4.000946,4.001102
4,Triangular,tip_rotation_deg,128,64,32,-6.534583837369e-02,-6.535062431336e-02,-6.536976808762e-02,2.000001,-6.534424306220e-02,-6.534426481619e-02,-0.000033,0.002408,0.003052,0.012206,0.002441,3.999710,4.000003
5,Parabolic,tip_deflection_mm,128,64,32,-1.317894441590e+00,-1.317940849394e+00,-1.318126518198e+00,2.000292,-1.317878976497e+00,-1.317878718183e+00,0.000020,0.001193,0.001467,0.005868,0.001173,4.000669,4.000810
5,Parabolic,tip_rotation_deg,128,64,32,-5.227663522802e-02,-5.228035742812e-02,-5.229524445285e-02,1.999828,-5.227539429732e-02,-5.227540894295e-02,-0.000028,0.002346,0.002967,0.011867,0.002374,3.999238,3.999523
