job_base_id,load_type,n_elements,max_error_uy_mm,rms_error_uy_mm
3,UDL,4,6.652754426651e-02,3.309588935910e-02
3,UDL,8,1.021673001235e-01,5.282828591606e-02
3,UDL,16,1.110772390845e-01,5.738202999950e-02
3,UDL,32,1.133047237775e-01,5.811554849425e-02
3,UDL,64,1.138615948315e-01,5.808708320750e-02
3,UDL,128,1.140008114435e-01,5.797326332216e-02
4,Triangular,4,4.484669278611e-02,2.234360768543e-02
4,Triangular,8,7.393393103032e-02,3.818551027337e-02
4,Triangular,16,8.120922103344e-02,4.167501605544e-02
4,Triangular,32,8.302826102816e-02,4.222767245420e-02
4,Triangular,64,8.348303453358e-02,4.220436623117e-02
4,Triangular,128,8.359672786027e-02,4.211779709446e-02
5,Parabolic,4,3.353602026805e-02,1.679316579775e-02
5,Parabolic,8,5.778311979368e-02,2.982254729092e-02
5,Parabolic,16,6.386490723139e-02,3.263121941535e-02
5,Parabolic,32,6.538660545177e-02,3.307095091473e-02
5,Parabolic,64,6.576710779430e-02,3.305057720819e-02
5,Parabolic,128,6.586223736599e-02,3.298058169695e-02
