job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.562500000000000000e-02,-2.777104999983999651e-04,-2.915960249395214542e-04,1.388552494112148912e-05,-2.034031001725016344e-03,-2.135732551377035604e-03,1.017015496520192602e-04
0.000000000000000000e+00,3.125000000000000000e-02,-1.107941629240000040e-03,-1.163338710463678212e-03,5.539708122367817227e-05,-4.052108819141580533e-03,-4.254714259213859297e-03,2.026054400722787641e-04
0.000000000000000000e+00,4.687500000000000000e-02,-2.486342831593999717e-03,-2.610659972630859516e-03,1.243171410368597990e-04,-6.054233452247399262e-03,-6.356945123510471078e-03,3.027116712630718159e-04
0.000000000000000000e+00,6.250000000000000000e-02,-4.408563550930000297e-03,-4.628991727499452875e-03,2.204281765694525788e-04,-8.040404901049348976e-03,-8.442425144266870948e-03,4.020202432175219720e-04
0.000000000000000000e+00,7.812500000000000000e-02,-6.870253231117999515e-03,-7.213765891127848183e-03,3.435126600098486679e-04,-1.001062316554055323e-02,-1.051115432148305717e-02,5.005311559425039414e-04
0.000000000000000000e+00,9.375000000000000000e-02,-9.867061316025998660e-03,-1.036041437957443447e-02,4.933530635484358051e-04,-1.196488824572674269e-02,-1.256313265515903409e-02,5.982444094322914019e-04
0.000000000000000000e+00,1.093750000000000000e-01,-1.339463724952000105e-02,-1.406436910889759945e-02,6.697318593775983958e-04,-1.390320014160218581e-02,-1.459836014529479649e-02,6.951600036926106757e-04
0.000000000000000000e+00,1.250000000000000000e-01,-1.744863047547999882e-02,-1.832106199515572825e-02,8.724315196757294333e-04,-1.582555885316688435e-02,-1.661683679189034785e-02,7.912779387234634976e-04
0.000000000000000000e+00,1.406250000000000000e-01,-2.202469043777000035e-02,-2.312592495440721901e-02,1.101234516637218663e-03,-1.773196438042656808e-02,-1.861856259494568816e-02,8.865982145191200758e-04
0.000000000000000000e+00,1.562500000000000000e-01,-2.711846658024999815e-02,-2.847438990271045078e-02,1.355923322460452635e-03,-1.962241672337550896e-02,-2.060353755446081570e-02,9.811208310853067327e-04
0.000000000000000000e+00,1.718750000000000000e-01,-3.272560834681000064e-02,-3.436188875612381649e-02,1.636280409313815853e-03,-2.149691588201943157e-02,-2.257176167043573045e-02,1.074845788416298881e-03
0.000000000000000000e+00,1.875000000000000000e-01,-3.884176518129999617e-02,-4.078385343070570906e-02,1.942088249405712896e-03,-2.335546185635261132e-02,-2.452323494287043590e-02,1.167773086517824577e-03
0.000000000000000000e+00,2.031250000000000000e-01,-4.546258652759999769e-02,-4.773571584251450756e-02,2.273129314914509869e-03,-2.519805464638077627e-02,-2.645795737176492510e-02,1.259902725384148825e-03
0.000000000000000000e+00,2.187500000000000000e-01,-5.258372182957000290e-02,-5.521290790760861183e-02,2.629186078038608931e-03,-2.702469425209819490e-02,-2.837592895711920846e-02,1.351234705021013560e-03
0.000000000000000000e+00,2.343750000000000000e-01,-6.020082053109000048e-02,-6.321086154204640095e-02,3.010041010956400476e-03,-2.883538067350486719e-02,-3.027714969893326863e-02,1.441769025428401435e-03
0.000000000000000000e+00,2.500000000000000000e-01,-6.830953207603000787e-02,-7.172500866188626090e-02,3.415476585856253022e-03,-3.063011391060653163e-02,-3.216161959720712643e-02,1.531505686600594801e-03
0.000000000000000000e+00,2.656250000000000000e-01,-7.690550590824998811e-02,-8.075078118318658460e-02,3.845275274936596488e-03,-3.240889396339744627e-02,-3.402933865194077145e-02,1.620444688543325185e-03
0.000000000000000000e+00,2.812500000000000000e-01,-8.598439147162000029e-02,-9.028361102200578581e-02,4.299219550385785515e-03,-3.417172083188334264e-02,-3.588030686313420370e-02,1.708586031250861059e-03
0.000000000000000000e+00,2.968750000000000000e-01,-9.554183821002000532e-02,-1.003189300944022089e-01,4.777091884382203557e-03,-3.591859451605849268e-02,-3.771452423078742316e-02,1.795929714728930482e-03
0.000000000000000000e+00,3.125000000000000000e-01,-1.055734955673000020e-01,-1.108521703164342675e-01,5.278674749134265598e-03,-3.764951501592863486e-02,-3.953199075490042291e-02,1.882475738971788048e-03
0.000000000000000000e+00,3.281250000000000000e-01,-1.160750129874000003e-01,-1.218787636041603617e-01,5.803750616760361414e-03,-3.936448233148803072e-02,-4.133270643547322376e-02,1.968224103985193041e-03
0.000000000000000000e+00,3.437500000000000000e-01,-1.270420399140000101e-01,-1.333941418736388496e-01,6.352101959638839501e-03,-4.106349646273667331e-02,-4.311667127250580489e-02,2.053174809769131581e-03
0.000000000000000000e+00,3.593750000000000000e-01,-1.384702257911999967e-01,-1.453937370409281449e-01,6.923511249728148131e-03,-4.274655740967457651e-02,-4.488388526599817324e-02,2.137327856323596731e-03
0.000000000000000000e+00,3.750000000000000000e-01,-1.503552200627999991e-01,-1.578729810220866059e-01,7.517760959286606814e-03,-4.441366517230746491e-02,-4.663434841595033575e-02,2.220683243642870841e-03
0.000000000000000000e+00,3.906250000000000000e-01,-1.626926721726000002e-01,-1.708273057331726741e-01,8.134633560572673838e-03,-4.606481975062388240e-02,-4.836806072236227855e-02,2.303240971738396148e-03
0.000000000000000000e+00,4.062500000000000000e-01,-1.754782315645000146e-01,-1.842521430902446800e-01,8.773911525744665374e-03,-4.770002114463528509e-02,-5.008502218523401550e-02,2.385001040598730415e-03
0.000000000000000000e+00,4.218750000000000000e-01,-1.887075476822999975e-01,-1.981429250093610372e-01,9.435377327061039709e-03,-4.931926935434166603e-02,-5.178523280456553968e-02,2.465963450223873643e-03
