job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000042e-02,-4.546682443074000256e-04,-4.774016576535151067e-04,2.273341334611508110e-05,-2.600700864886293286e-03,-2.730735914600199588e-03,1.300350497139063019e-04
0.000000000000000000e+00,4.000000000000000083e-02,-1.812590458909000201e-03,-1.903219986364514419e-03,9.062952745551421802e-05,-5.175264032629842137e-03,-5.434027247144116064e-03,2.587632145142739273e-04
0.000000000000000000e+00,5.999999999999999778e-02,-4.064642866323999772e-03,-4.267875019758680770e-03,2.032321534346809982e-04,-7.723689503230646985e-03,-8.109873997631748127e-03,3.861844944011011416e-04
0.000000000000000000e+00,8.000000000000000167e-02,-7.201701689073000505e-03,-7.561786791461694822e-03,3.600851023886943170e-04,-1.024597727668641670e-02,-1.075827616606309968e-02,5.122988893766829838e-04
0.000000000000000000e+00,1.000000000000000056e-01,-1.121464314967000019e-02,-1.177537533509924288e-02,5.607321854292426910e-04,-1.274212735300115848e-02,-1.337923375243816465e-02,6.371063994370061712e-04
0.000000000000000000e+00,1.199999999999999956e-01,-1.609434347064999868e-02,-1.689906068429699801e-02,8.047172136469993298e-04,-1.521213973217487928e-02,-1.597274675675694477e-02,7.606070245820654996e-04
0.000000000000000000e+00,1.400000000000000133e-01,-2.183167887450999933e-02,-2.292326287268064977e-02,1.091583998170650438e-03,-1.765601441420184062e-02,-1.853881517901944873e-02,8.828007648176081079e-04
0.000000000000000000e+00,1.600000000000000033e-01,-2.841752558377999907e-02,-2.983840193387587644e-02,1.420876350095877372e-03,-2.007375139908778097e-02,-2.107743901922565916e-02,1.003687620137878184e-03
0.000000000000000000e+00,1.799999999999999933e-01,-3.584275982099000002e-02,-3.763489790150836845e-02,1.792138080518368426e-03,-2.246535068683269340e-02,-2.358861827737559688e-02,1.123267590542903482e-03
0.000000000000000000e+00,2.000000000000000111e-01,-4.409825780863999706e-02,-4.630317080920379885e-02,2.204913000563801795e-03,-2.483081227743085331e-02,-2.607235295346924456e-02,1.241540676038391244e-03
0.000000000000000000e+00,2.200000000000000011e-01,-5.317489576926000272e-02,-5.583364069058784074e-02,2.658744921327838018e-03,-2.717013617088798183e-02,-2.852864304750660912e-02,1.358506876618627290e-03
0.000000000000000000e+00,2.399999999999999911e-01,-6.306354992536999937e-02,-6.621672757928619146e-02,3.153177653916192091e-03,-2.948332236720408936e-02,-3.095748855948769404e-02,1.474166192283604682e-03
0.000000000000000000e+00,2.600000000000000089e-01,-7.375509649947999125e-02,-7.744285150892454839e-02,3.687755009444557142e-03,-3.177037086637344437e-02,-3.335888948941249238e-02,1.588518623039048006e-03
0.000000000000000000e+00,2.800000000000000266e-01,-8.524041171412000129e-02,-8.950243251312856030e-02,4.262020799008559013e-03,-3.403128166840176799e-02,-3.573284583728100067e-02,1.701564168879232675e-03
0.000000000000000000e+00,2.999999999999999889e-01,-9.751037179181000492e-02,-1.023858906255239037e-01,4.875518833713898825e-03,-3.626605477328334604e-02,-3.807935760309323625e-02,1.813302829809890215e-03
0.000000000000000000e+00,3.200000000000000067e-01,-1.105558529550999952e-01,-1.160836458797362830e-01,5.527792924636287797e-03,-3.847469018102388921e-02,-4.039842478684919219e-02,1.923734605825302979e-03
0.000000000000000000e+00,3.400000000000000244e-01,-1.243677314264000078e-01,-1.305861183093914579e-01,6.218386882991450149e-03,-4.065718789162341140e-02,-4.269004738854885461e-02,2.032859496925443210e-03
0.000000000000000000e+00,3.599999999999999867e-01,-1.389368834283000176e-01,-1.458837279481149107e-01,6.946844519814893149e-03,-4.281354790507618108e-02,-4.495422540819223739e-02,2.140677503116056313e-03
0.000000000000000000e+00,3.800000000000000044e-01,-1.542541851833999778e-01,-1.619668948295324706e-01,7.712709646132492880e-03,-4.494377022138219130e-02,-4.719095884577933359e-02,2.247188624397142287e-03
0.000000000000000000e+00,4.000000000000000222e-01,-1.703105129140999874e-01,-1.788260389872698419e-01,8.515526073169854548e-03,-4.704785484054717359e-02,-4.940024770131014320e-02,2.352392860762969606e-03
0.000000000000000000e+00,4.199999999999999845e-01,-1.870967428429000101e-01,-1.964515804549525624e-01,9.354837612052552265e-03,-4.912580176256541031e-02,-5.158209197478468011e-02,2.456290212219269797e-03
0.000000000000000000e+00,4.400000000000000022e-01,-2.046037511924999885e-01,-2.148339392662065028e-01,1.023018807370651428e-02,-5.117761098743688064e-02,-5.373649166620293044e-02,2.558880678766049799e-03
0.000000000000000000e+00,4.600000000000000200e-01,-2.228224141851999907e-01,-2.339635354546572288e-01,1.114112126945723813e-02,-5.320328251515587387e-02,-5.586344677556489419e-02,2.660164260409020320e-03
0.000000000000000000e+00,4.799999999999999822e-01,-2.417436080436000112e-01,-2.538307890539304168e-01,1.208718101033040559e-02,-5.520281634573384610e-02,-5.796295730287056441e-02,2.760140957136718309e-03
0.000000000000000000e+00,5.000000000000000000e-01,-2.613582089902999894e-01,-2.744261200976517712e-01,1.306791110735178174e-02,-5.717621247916505889e-02,-6.003502324811996887e-02,2.858810768954909987e-03
0.000000000000000000e+00,5.200000000000000178e-01,-2.816570932477000522e-01,-2.957399486194470795e-01,1.408285537174702728e-02,-5.912347091546669986e-02,-6.207964461131308676e-02,2.956173695846386895e-03
0.000000000000000000e+00,5.400000000000000355e-01,-3.026311370383999999e-01,-3.177626946529418239e-01,1.513155761454182402e-02,-6.104459165458721304e-02,-6.409682139244991805e-02,3.052229737862705017e-03
0.000000000000000000e+00,5.600000000000000533e-01,-3.242712165849000461e-01,-3.404847782317617644e-01,1.621356164686171830e-02,-6.293957469656670523e-02,-6.608655359153045583e-02,3.146978894963750606e-03
0.000000000000000000e+00,5.799999999999999600e-01,-3.465682081097000156e-01,-3.638966193895325496e-01,1.732841127983253404e-02,-6.480842004140517643e-02,-6.804884120855472784e-02,3.240421167149551418e-03
0.000000000000000000e+00,5.999999999999999778e-01,-3.695129878353000108e-01,-3.879886381598801059e-01,1.847565032458009515e-02,-6.665112768915990027e-02,-6.998368424352270634e-02,3.332556554362806067e-03
0.000000000000000000e+00,6.199999999999999956e-01,-3.930964319841999677e-01,-4.127512545764298046e-01,1.965482259222983696e-02,-6.846769763971631562e-02,-7.189108269643440519e-02,3.423385056718089570e-03
0.000000000000000000e+00,6.400000000000000133e-01,-4.173094167790000197e-01,-4.381748886728074055e-01,2.086547189380738576e-02,-7.025812989313170998e-02,-7.377103656728982439e-02,3.512906674158114417e-03
0.000000000000000000e+00,6.600000000000000311e-01,-4.421428184421999918e-01,-4.642499604826387793e-01,2.210714204043878750e-02,-7.202242444946335698e-02,-7.562354585608895008e-02,3.601121406625593102e-03
0.000000000000000000e+00,6.800000000000000488e-01,-4.675875131962999864e-01,-4.909668900395494640e-01,2.337937684324947751e-02,-7.376058130859669548e-02,-7.744861056283179612e-02,3.688029254235100640e-03
0.000000000000000000e+00,6.999999999999999556e-01,-4.936343772638999705e-01,-5.183160973771647750e-01,2.468172011326480453e-02,-7.547260047064630051e-02,-7.924623068751834865e-02,3.773630216872048138e-03
0.000000000000000000e+00,7.199999999999999734e-01,-5.202742868673999599e-01,-5.462880025291111385e-01,2.601371566171117866e-02,-7.715848193555488455e-02,-8.101640623014864928e-02,3.857924294593764736e-03
0.000000000000000000e+00,7.399999999999999911e-01,-5.474981182293000570e-01,-5.748730255290137592e-01,2.737490729971370218e-02,-7.881822570332243372e-02,-8.275913719072262864e-02,3.940911487400194924e-03
0.000000000000000000e+00,7.600000000000000089e-01,-5.752967475722999824e-01,-6.040615864104984523e-01,2.876483883819846987e-02,-8.045183177394897578e-02,-8.447442356924035611e-02,4.022591795291380334e-03
0.000000000000000000e+00,7.800000000000000266e-01,-6.036610511187999739e-01,-6.338441052071908111e-01,3.018305408839083714e-02,-8.205930014743448297e-02,-8.616226536570177619e-02,4.102965218267293213e-03
0.000000000000000000e+00,8.000000000000000444e-01,-6.325819050913999986e-01,-6.642110019527166509e-01,3.162909686131665232e-02,-8.364063082383625669e-02,-8.782266258010693050e-02,4.182031756270673806e-03
0.000000000000000000e+00,8.199999999999999512e-01,-6.620501857125000722e-01,-6.951526966807012320e-01,3.310251096820115979e-02,-8.519582380309702330e-02,-8.945561521245579129e-02,4.259791409358767988e-03
0.000000000000000000e+00,8.399999999999999689e-01,-6.920567692046999397e-01,-7.266596094247709248e-01,3.460284022007098503e-02,-8.672487908521674116e-02,-9.106112326274837243e-02,4.336244177531631272e-03
0.000000000000000000e+00,8.599999999999999867e-01,-7.225925317906000123e-01,-7.587221602185508784e-01,3.612962842795086615e-02,-8.822779667025272554e-02,-9.263918673098466006e-02,4.411390060731934515e-03
0.000000000000000000e+00,8.800000000000000044e-01,-7.536483496925999725e-01,-7.913307690956670193e-01,3.768241940306704674e-02,-8.970457655814770281e-02,-9.418980561716468192e-02,4.485229059016979103e-03
0.000000000000000000e+00,9.000000000000000222e-01,-7.852150991333000096e-01,-8.244758560897451627e-01,3.926075695644515307e-02,-9.115521874890164522e-02,-9.571297992128841026e-02,4.557761172386765036e-03
0.000000000000000000e+00,9.200000000000000400e-01,-8.172836563351999484e-01,-8.581478412344106799e-01,4.086418489921073149e-02,-9.257972324257186802e-02,-9.720870964335585895e-02,4.628986400783990929e-03
0.000000000000000000e+00,9.399999999999999467e-01,-8.498448975209000888e-01,-8.923371445632891641e-01,4.249224704238907524e-02,-9.397809003910105596e-02,-9.867699478336702801e-02,4.698904744265972044e-03
0.000000000000000000e+00,9.599999999999999645e-01,-8.828896989128000028e-01,-9.270341861100068748e-01,4.414448719720687198e-02,-9.535031913854652430e-02,-1.001178353413219035e-01,4.767516202775379242e-03
0.000000000000000000e+00,9.799999999999999822e-01,-9.164089367334999903e-01,-9.622293859081885170e-01,4.582044917468852674e-02,-9.669641054085095777e-02,-1.015312313172204994e-01,4.834820776369541662e-03
0.000000000000000000e+00,1.000000000000000000e+00,-9.503934872056000183e-01,-9.979131639914610163e-01,4.751967678586099808e-02,-9.801636424607167164e-02,-1.029171827110628018e-01,4.900818464991130163e-03
0.000000000000000000e+00,1.020000000000000018e+00,-9.848342265514999916e-01,-1.034075940393449411e+00,4.924171384194941936e-02,-9.931018025420863815e-02,-1.042756895228488245e-01,4.965509268640186380e-03
0.000000000000000000e+00,1.040000000000000036e+00,-1.019722030993999828e+00,-1.070708135147779183e+00,5.098610415377935468e-02,-1.005778585652045976e-01,-1.056067517525785815e-01,5.028893187373983942e-03
0.000000000000000000e+00,1.060000000000000053e+00,-1.055047776755000166e+00,-1.107800168288075815e+00,5.275239153307564877e-02,-1.018193991790595221e-01,-1.069103694002520449e-01,5.090970221192522849e-03
0.000000000000000000e+00,1.080000000000000071e+00,-1.090802340058000031e+00,-1.145342459847966010e+00,5.454011978996597954e-02,-1.030348020958880145e-01,-1.081865424658692149e-01,5.151740369981200329e-03
0.000000000000000000e+00,1.100000000000000089e+00,-1.126976597124000001e+00,-1.183325429861074918e+00,5.634883273707491647e-02,-1.042240673155754860e-01,-1.094352709494301190e-01,5.211203633854633033e-03
0.000000000000000000e+00,1.120000000000000107e+00,-1.163561424178000125e+00,-1.221739498361027465e+00,5.817807418302733957e-02,-1.053871948381792240e-01,-1.106565548509347158e-01,5.269360012755491818e-03
0.000000000000000000e+00,1.139999999999999902e+00,-1.200547697440000006e+00,-1.260575085381450355e+00,6.002738794145034973e-02,-1.065241846636992284e-01,-1.118503941703830745e-01,5.326209506683846073e-03
0.000000000000000000e+00,1.159999999999999920e+00,-1.237926293134000044e+00,-1.299822610955968738e+00,6.189631782196869381e-02,-1.076350367920781981e-01,-1.130167889077750981e-01,5.381752115696900041e-03
0.000000000000000000e+00,1.179999999999999938e+00,-1.275688087482000022e+00,-1.339472495118208872e+00,6.378440763620885079e-02,-1.087197512233734620e-01,-1.141557390631108837e-01,5.435987839737421723e-03
0.000000000000000000e+00,1.199999999999999956e+00,-1.313823956707000029e+00,-1.379515157901795908e+00,6.569120119479587849e-02,-1.097783279575276910e-01,-1.152672446363903619e-01,5.488916678862670873e-03
0.000000000000000000e+00,1.219999999999999973e+00,-1.352324777031000069e+00,-1.419941019340355437e+00,6.761624230935536772e-02,-1.108107669945981866e-01,-1.163513056276135604e-01,5.540538633015373859e-03
0.000000000000000000e+00,1.239999999999999991e+00,-1.391181424675999923e+00,-1.460740499467513720e+00,6.955907479151379746e-02,-1.118170683345849625e-01,-1.174079220367804516e-01,5.590853702195489050e-03
0.000000000000000000e+00,1.260000000000000009e+00,-1.430384775865999991e+00,-1.501904018316895906e+00,7.151924245089591459e-02,-1.127972319774307036e-01,-1.184370938638910908e-01,5.639861886460387219e-03
0.000000000000000000e+00,1.280000000000000027e+00,-1.469925706823000056e+00,-1.543421995922127588e+00,7.349628909912753194e-02,-1.137512579231927251e-01,-1.194388211089453949e-01,5.687563185752669837e-03
0.000000000000000000e+00,1.300000000000000044e+00,-1.509795093768999896e+00,-1.585284852316835247e+00,7.548975854783535056e-02,-1.146791461718137117e-01,-1.204131037719435027e-01,5.733957600129790944e-03
0.000000000000000000e+00,1.320000000000000062e+00,-1.549983812925999960e+00,-1.627483007534643589e+00,7.749919460864362897e-02,-1.155808967233509510e-01,-1.213599418528852336e-01,5.779045129534282621e-03
0.000000000000000000e+00,1.340000000000000080e+00,-1.590482740518999849e+00,-1.670006881609179539e+00,7.952414109017968968e-02,-1.164565095778045123e-01,-1.222793353517707543e-01,5.822825773966242013e-03
0.000000000000000000e+00,1.360000000000000098e+00,-1.631282752768000055e+00,-1.712846894574066914e+00,8.156414180606685882e-02,-1.173059847351742985e-01,-1.231712842685999537e-01,5.865299533425655243e-03
0.000000000000000000e+00,1.379999999999999893e+00,-1.672374725896000003e+00,-1.755993466462932195e+00,8.361874056693219259e-02,-1.181293221954603789e-01,-1.240357886033729151e-01,5.906466407912536187e-03
0.000000000000000000e+00,1.399999999999999911e+00,-1.713749536127000095e+00,-1.799437017309402309e+00,8.568748118240221423e-02,-1.189265219585481231e-01,-1.248728483560895275e-01,5.946326397541404352e-03
0.000000000000000000e+00,1.419999999999999929e+00,-1.755398059682000023e+00,-1.843167967147101738e+00,8.776990746510171526e-02,-1.196975840246094352e-01,-1.256824635267498880e-01,5.984879502140452723e-03
0.000000000000000000e+00,1.439999999999999947e+00,-1.797311172784000100e+00,-1.887176736009656519e+00,8.986556322565641963e-02,-1.204425083935297264e-01,-1.264646341153539966e-01,6.022125721824270195e-03
0.000000000000000000e+00,1.459999999999999964e+00,-1.839479751655999973e+00,-1.931453743930692024e+00,9.197399227469205130e-02,-1.211612950653089965e-01,-1.272193601219017700e-01,6.058065056592773501e-03
0.000000000000000000e+00,1.479999999999999982e+00,-1.881894672520000089e+00,-1.975989410943834068e+00,9.409473842383397901e-02,-1.218539440400045332e-01,-1.279466415463932916e-01,6.092697506388758399e-03
0.000000000000000000e+00,1.500000000000000000e+00,-1.924546811599000096e+00,-2.020774157082708911e+00,9.622734548370881491e-02,-1.225204553175590488e-01,-1.286464783888285057e-01,6.126023071269456888e-03
0.000000000000000000e+00,1.520000000000000018e+00,-1.967427045114000128e+00,-2.065798402380941479e+00,9.837135726694135052e-02,-1.231608288980298171e-01,-1.293188706492074402e-01,6.158041751177623091e-03
0.000000000000000000e+00,1.540000000000000036e+00,-2.010526249289999789e+00,-2.111052566872156699e+00,1.005263175821569099e-01,-1.237750647813595783e-01,-1.299638183275301229e-01,6.188753546170544517e-03
0.000000000000000000e+00,1.560000000000000053e+00,-2.053835300347000015e+00,-2.156527070589982387e+00,1.026917702429823720e-01,-1.243631629676056061e-01,-1.305813214237964981e-01,6.218158456190892025e-03
0.000000000000000000e+00,1.580000000000000071e+00,-2.097345074510000185e+00,-2.202212333568042801e+00,1.048672590580426167e-01,-1.249251234567106267e-01,-1.311713799380065659e-01,6.246256481295939245e-03
0.000000000000000000e+00,1.600000000000000089e+00,-2.141046447998999902e+00,-2.248098775839964425e+00,1.070523278409645229e-01,-1.254609462486745708e-01,-1.317339938701604096e-01,6.273047621485838832e-03
0.000000000000000000e+00,1.620000000000000107e+00,-2.184930297039000102e+00,-2.294176817439371074e+00,1.092465204003709722e-01,-1.259706313434975355e-01,-1.322691632202579182e-01,6.298531876760382620e-03
0.000000000000000000e+00,1.639999999999999902e+00,-2.228987497851000033e+00,-2.340436878399890119e+00,1.114493805488900868e-01,-1.264541787412367668e-01,-1.327768879882991748e-01,6.322709247062408000e-03
0.000000000000000000e+00,1.659999999999999920e+00,-2.273208926656999918e+00,-2.386869378755147153e+00,1.136604520981472355e-01,-1.269115884417776619e-01,-1.332571681742840963e-01,6.345579732506434478e-03
0.000000000000000000e+00,1.679999999999999938e+00,-2.317585459680999715e+00,-2.433464738538767769e+00,1.158792788577680533e-01,-1.273428604451202484e-01,-1.337100037782128215e-01,6.367143333092573076e-03
0.000000000000000000e+00,1.699999999999999956e+00,-2.362107973145000095e+00,-2.480213377784377116e+00,1.181054046393770207e-01,-1.277479947513791014e-01,-1.341353948000851559e-01,6.387400048706054490e-03
0.000000000000000000e+00,1.719999999999999973e+00,-2.406767343270999948e+00,-2.527105716525601231e+00,1.203383732546012830e-01,-1.281269913604396182e-01,-1.345333412399013218e-01,6.406349879461703534e-03
0.000000000000000000e+00,1.739999999999999991e+00,-2.451554446282000033e+00,-2.574132174796066153e+00,1.225777285140661199e-01,-1.284798502723591140e-01,-1.349038430976610969e-01,6.423992825301982901e-03
0.000000000000000000e+00,1.760000000000000009e+00,-2.496460158401000218e+00,-2.621283172629397473e+00,1.248230142283972555e-01,-1.288065714870803014e-01,-1.352469003733647035e-01,6.440328886284402143e-03
0.000000000000000000e+00,1.780000000000000027e+00,-2.541475355849000195e+00,-2.668549130059219898e+00,1.270737742102197032e-01,-1.291071550046604677e-01,-1.355625130670118916e-01,6.455358062351423953e-03
0.000000000000000000e+00,1.800000000000000044e+00,-2.586590914850000367e+00,-2.715920467119160353e+00,1.293295522691599864e-01,-1.293816008250995853e-01,-1.358506811786029389e-01,6.469080353503353642e-03
0.000000000000000000e+00,1.820000000000000062e+00,-2.631797711625999625e+00,-2.763387603842843543e+00,1.315898922168439178e-01,-1.296299089483404221e-01,-1.361114047081375955e-01,6.481495759797173406e-03
0.000000000000000000e+00,1.840000000000000080e+00,-2.677086622400000060e+00,-2.810940960263896393e+00,1.338543378638963333e-01,-1.298520793743828949e-01,-1.363446836556160002e-01,6.492604281233105290e-03
0.000000000000000000e+00,1.860000000000000098e+00,-2.722448523393000031e+00,-2.858570956415942721e+00,1.361224330229426904e-01,-1.300481121032843468e-01,-1.365505180210380975e-01,6.502405917753750764e-03
0.000000000000000000e+00,1.879999999999999893e+00,-2.767874290828999939e+00,-2.906268012332609896e+00,1.383937215036099566e-01,-1.302180071350448054e-01,-1.367289078044039985e-01,6.510900669359193094e-03
0.000000000000000000e+00,1.899999999999999911e+00,-2.813354800928999921e+00,-2.954022548047522623e+00,1.406677471185227013e-01,-1.303617644696069278e-01,-1.368798530057135088e-01,6.518088536106581010e-03
0.000000000000000000e+00,1.919999999999999929e+00,-2.858880929918000025e+00,-3.001824983594307827e+00,1.429440536763078029e-01,-1.304793841069133986e-01,-1.370033536249668227e-01,6.523969518053424066e-03
0.000000000000000000e+00,1.939999999999999947e+00,-2.904443554015999851e+00,-3.049665739006589771e+00,1.452221849905899198e-01,-1.305708660470789040e-01,-1.370994096621638014e-01,6.528543615084897445e-03
0.000000000000000000e+00,1.959999999999999964e+00,-2.950033549446999803e+00,-3.097535234317994046e+00,1.475016848709942430e-01,-1.306362102901033329e-01,-1.371680211173045005e-01,6.531810827201167680e-03
0.000000000000000000e+00,1.979999999999999982e+00,-2.995641792432000017e+00,-3.145423889562147135e+00,1.497820971301471182e-01,-1.306754168358721657e-01,-1.372091879903889200e-01,6.533771154516754276e-03
0.000000000000000000e+00,2.000000000000000000e+00,-3.041259159195000006e+00,-3.193322124772675519e+00,1.520629655776755129e-01,-1.306884856844999776e-01,-1.372229102814170876e-01,6.534424596917109973e-03
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000042e-02,-2.265738075675000009e-04,-2.379024982955643024e-04,1.132869072806430154e-05,-1.293816009318989307e-03,-1.358506811786029016e-03,6.469080246703970936e-05
1.000000000000000000e+00,4.000000000000000083e-02,-9.002127119404999952e-04,-9.452233489327118527e-04,4.501063699221185752e-05,-2.561494321456273156e-03,-2.689569041515774920e-03,1.280747200595017642e-04
1.000000000000000000e+00,5.999999999999999778e-02,-2.011792935624999879e-03,-2.112382585537124751e-03,1.005896499121248719e-04,-3.803034936411279088e-03,-3.993186689189236194e-03,1.901517527779571053e-04
1.000000000000000000e+00,8.000000000000000167e-02,-3.552190701125999914e-03,-3.729800241734484555e-03,1.776095406084846409e-04,-5.018437854184006237e-03,-5.269359754806414789e-03,2.509219006224085516e-04
1.000000000000000000e+00,1.000000000000000056e-01,-5.512282230949000668e-03,-5.787896351150474857e-03,2.756141202014741887e-04,-6.207703074775028362e-03,-6.518088238367311139e-03,3.103851635922827770e-04
1.000000000000000000e+00,1.199999999999999956e-01,-7.882943747601000098e-03,-8.277090947410773933e-03,3.941471998097738350e-04,-7.370830598186638334e-03,-7.739372139871923510e-03,3.685415416852851761e-04
1.000000000000000000e+00,1.400000000000000133e-01,-1.065505147359000100e-02,-1.118780406414107004e-02,5.327525905510690357e-04,-8.507820424411383781e-03,-8.933211459320250167e-03,4.253910349088663861e-04
1.000000000000000000e+00,1.600000000000000033e-01,-1.381948163141000045e-02,-1.451045573496703538e-02,6.909741035570349243e-04,-9.618672553454998830e-03,-1.009960619671229805e-02,4.809336432572992176e-04
1.000000000000000000e+00,1.799999999999999933e-01,-1.736711044358000069e-02,-1.823546599351436384e-02,8.683555499343631467e-04,-1.070338698531748088e-02,-1.123855635204805935e-02,5.351693667305784663e-04
1.000000000000000000e+00,2.000000000000000111e-01,-2.128881413260000008e-02,-2.235325487340873024e-02,1.064440740808730163e-03,-1.176196371999882993e-02,-1.235006192532753580e-02,5.880982053287058670e-04
1.000000000000000000e+00,2.200000000000000011e-01,-2.557546892098000110e-02,-2.685424240827581285e-02,1.278773487295811750e-03,-1.279440275749904772e-02,-1.343412291655073261e-02,6.397201590516848890e-04
1.000000000000000000e+00,2.399999999999999911e-01,-3.021795103122000212e-02,-3.172884863174130210e-02,1.510897600521299983e-03,-1.380070409781240272e-02,-1.449073932571764110e-02,6.900352279052383853e-04
1.000000000000000000e+00,2.600000000000000089e-01,-3.520713668583000389e-02,-3.696749357743088493e-02,1.760356891600881046e-03,-1.478086774095035798e-02,-1.551991115282827169e-02,7.390434118779137113e-04
1.000000000000000000e+00,2.800000000000000266e-01,-4.053390210731000476e-02,-4.256059727897022055e-02,2.026695171660215788e-03,-1.573489368690144871e-02,-1.652163839788261396e-02,7.867447109811652461e-04
1.000000000000000000e+00,2.999999999999999889e-01,-4.618912351816999856e-02,-4.849857976998501324e-02,2.309456251815014682e-03,-1.666278193567140645e-02,-1.749592106088067658e-02,8.331391252092701372e-04
1.000000000000000000e+00,3.200000000000000067e-01,-5.216367714091999647e-02,-5.477186108410092569e-02,2.608183943180929221e-03,-1.756453248726022945e-02,-1.844275914182245610e-02,8.782266545622266496e-04
1.000000000000000000e+00,3.400000000000000244e-01,-5.844843919804999788e-02,-6.137086125494368299e-02,2.922422056893685116e-03,-1.844014534166219660e-02,-1.936215264070794903e-02,9.220072990457524320e-04
1.000000000000000000e+00,3.599999999999999867e-01,-6.503428591207999210e-02,-6.828600031613889232e-02,3.251714404058900221e-03,-1.928962049888875707e-02,-2.025410155753716232e-02,9.644810586484052484e-04
1.000000000000000000e+00,3.800000000000000044e-01,-7.191209350551999724e-02,-7.550769830131230653e-02,3.595604795792309294e-03,-2.011295795892845822e-02,-2.111860589231008903e-02,1.005647933381630804e-03
1.000000000000000000e+00,4.000000000000000222e-01,-7.907273820085999883e-02,-8.302637524408958136e-02,3.953637043229582537e-03,-2.091015772178129312e-02,-2.195566564502673262e-02,1.045507923245439508e-03
1.000000000000000000e+00,4.199999999999999845e-01,-8.650709622061000803e-02,-9.083245117809636560e-02,4.325354957486357566e-03,-2.168121978745300021e-02,-2.276528081568709311e-02,1.084061028234092894e-03
1.000000000000000000e+00,4.400000000000000022e-01,-9.420604378727999439e-02,-9.891634613695837741e-02,4.710302349678383016e-03,-2.242614415594357258e-02,-2.354745140429117048e-02,1.121307248347597901e-03
1.000000000000000000e+00,4.600000000000000200e-01,-1.021604571234000086e-01,-1.072684801543013350e-01,5.108023030901326367e-03,-2.314493082725301368e-02,-2.430217741083896474e-02,1.157246583585951061e-03
1.000000000000000000e+00,4.799999999999999822e-01,-1.103612124514000009e-01,-1.158792732637508593e-01,5.518060812350858435e-03,-2.383757980136986046e-02,-2.502945883533047589e-02,1.191879033960615425e-03
1.000000000000000000e+00,5.000000000000000000e-01,-1.187991859938000022e-01,-1.247391454989326270e-01,5.939959505132624829e-03,-2.450409107831130751e-02,-2.572929567776570045e-02,1.225204599454392945e-03
1.000000000000000000e+00,5.200000000000000178e-01,-1.274652539731999934e-01,-1.338385168934723979e-01,6.373262920272404486e-03,-2.514446465806589176e-02,-2.640168793814464537e-02,1.257223280078753613e-03
1.000000000000000000e+00,5.400000000000000355e-01,-1.363502926120999936e-01,-1.431678074809957513e-01,6.817514868895757640e-03,-2.575870054063361669e-02,-2.704663561646730371e-02,1.287935075833687021e-03
