[Grid]
[node_id]   [x]         [y]       [z]       
0           0.000000    0.0       0.0       
1           0.200000    0.0       0.0       
2           0.400000    0.0       0.0       
3           0.600000    0.0       0.0       
4           0.800000    0.0       0.0       
5           1.000000    0.0       0.0       
6           1.200000    0.0       0.0       
7           1.400000    0.0       0.0       
8           1.600000    0.0       0.0       
9           1.800000    0.0       0.0       
10          2.000000    0.0       0.0       
